ID,Noms
ManiusValeriusMaximusCorvinusMessalla,"Valerius Messala, Mexala"
GiovanniBattistaBranconioDellAquila,Jean Baptiste de l’Aquila
LodovicoDiLeonardoBuonarrotiSimoni,Loüis Bonarotti Simoni
QuintusFabiusMaximusVerrucosus,"Fabius Maximus, F.Maximus"
ArmandJeanDuPlessisDeRichelieu,"Cardinal Duc de Richelieu, Cardinale di Richelieu, Cardinal de Richelieu"
IsabelleClaireEugenieDAutriche,"l'lnfante Isabelle, Infante Isabelle"
AnthonieVanMontfoortBlocklandt,Antoine de Montfort de Blocland
GiovanniPaoloGallucciSalodiano,M. Giovanni Paolo Gallucci Salodiano
QuintusFabiusMaximusRullianus,Quintus Fabius Rutilien
GastonDeSecondatDeMontesquieu,Baron de Montesquieu
GiovanniAndreaGiliodaFabriano,Messer Giovanni Andrea Gilio
GiovanniBenedettoCastiglione,Bénédétte
AntonioMariaCiocchiDelMonte,Anthoine Cardinal del Monte
GiovanniBattistaDeCavalieri,"Jean Baptiste del Cavalliere, Cavaglier Gio. Battista"
FrancescoBrambillaIlGiovane,"il Brambilla, Francesco Brambilla"
ArmandJeanVignerotDuPlessis,"Monsieur le Duc de Richelieu, le Duc de Richelieu, Duc de Richelieu"
LeopoldGuillaumeDeHabsbourg,"Archiduc Leopolde, Archiduc Leopold, Archiduc Léopol"
WolfgangGuillaumeDeNeubourg,Duc de Neubourg
AlessandroFarneseIlGiovane,Alessandro Farnese
AntoinePerrenotDeGranvelle,"cardinale Gran Vela, monsignor d'Arasse"
CarloLuigiDAragonaTagliava,Carlo Luigi d'Aragona
CatherineMichelleDAutriche,"Caterina d'Austria, Donna Caterina d'Austria"
AntonioDaSangalloIlGiovane,"Antoine Sangalo, Antoine Sangal, le Sangal, du Sangal"
AntonioDaSangalloIlVecchio,"Antoine de Sangallo le Vieux, Antonio da Sangallo il vecchio, Antoine de Sangallo"
GiovanniFrancescoRomanelli,I. Francisco Romanello
MarcDeVulsonDeLaColombiere,Marc Vulson
AbrahamJanszVanDiepenbeeck,"Abraham Diepembek, ABRAHAM DIPEMBEC, Diépembeck"
GiovanniBattistaBenedetti,Benedetti
GiovanniFilippoGherardini,"Gio. Filippo Gherardini, Gherardino"
GiovanniAntonioBoltraffio,"Jean-Antoine Boltrafio, Antonio Boltraffio"
FrancescoBassanoIlVecchio,"Francois de Ponte, Francois du Pont"
GiovanniGiacomoDellaPorta,"Jean Jacques de la Porte, M. Giacomo della Porta, M.Giacomo della Porta, Giacomo della Porta"
DiegoMaxiaFelipezDeGuzman,Marquis de Leganez
FredericArmandDeSchomberg,Marescial di Schomberg
BernardoDoviziDaBibbiena,"Cardinal de Sainte Bibiane, Bernard de Bibiénne, Bernardo Divizio, Bernard Divicio"
GiuseppeNiccoloVicentino,Joan-nicola Vicentino
GiovanniBattistaMantuano,"Jean Baptiste Mantouan, Jean Batiste Mantouan"
CharlesAlphonseDuFresnoy,"Charles Alphonse du Fresnoy, Charles Alphonse Dufresnoy, Charles Alfonce du Fresnoy, CHARLES-ALFONSE DU FRESNOY, Charles Alfonse du Fresnoy, Charles-Alfonse du Fresnoy, Alphonse du Fresnoy, Du Fresnoy, du Fresnoy, du Frenoi, Dufresnoy, Dufrénoy, Dufrenoy"
FrancoisMarieDellaRovere,"Fançois Marie de la Rovere, Francesco Maria primo"
GiovanniBattistaCastello,"Gio. Battista Bergamasco, Giovanni Battista Bergamasco"
GiovanniBattistiArmenini,"Giovan Battista Armellino, Giovanbattista Armelino, Gio. Battista Armellino, Gio. Battista Armenini, J. Armenini, Armenini, Armelino"
JacquesAndrouetDuCerceau,"du Cerceau, Ducerceau"
PubliusValeriusPublicola,Publicola
MatteoDiGiovanniCivitali,Mattieu Luquois
FermoGhisoniDaCaravaggio,Fermo Guisoni
GiovanniFrancescoRustici,"Jean-Francesco Rustico, Rustico"
GiovanniBattistaRamenghi,Jean-Baptiste Bagnacavallo
MichielJanszVanMiereveld,MICHEL JANSON MIREVELT
JeanBaptisteDeChampaigne,JEAN BAPTISTE DE CHAMPAGNE
NicolasLambertDeThorigny,"M. Lambert, Nicolas Lambert"
JeanBaptisteDeBrouchoven,Jean Baptiste de Brouch
FrancescoDomenicoBisagno,D. Francesco Bisagno
GiovanniBattistaPittoni,Baptiste Peintre Vicentino
SainteCatherineDeSienne,Sainte Catherine de Sienne
GiovanniBattistaClarici,il Clariccio
MarcusClaudiusMarcellus,"Marc Marcelle, Marcellus"
EdouardColbertVillacerf,MARQUIS DE VILACERF
GiovanniBattistaStrozzi,Jean-Batiste Strozzi
GiovanniMariaVerdizotti,"Jean Marie Verdizzoti, Verdizzoti"
GiovanniMariaFalconetto,"Jean Maria Falconnetti, Falconnetti"
