ID,Noms
SaintRemyDeProvence,Saint Remi
SaintEtienneVille,Saint Etienne
SaintQuentinVille,"Saint Quentin,San Quintino"
BassanoDelGrappa,Bassan
SantAngeloInVado,"Saint-Ange in Vado,Agnolo in Vado"
CittaDiCastello,"Ville de Castello,Città di Castello"
Constantinople,Constantinople
PordenoneVille,"Pordenone,Pordenon"
ValleDiBlenio,Laval de Bregno
Fontainebleau,"Fontaine-bleau,Fontainebleau,Fonteinebleau,Fontanableo"
Grottaferrata,Grotta Ferrata
AixLaChapelle,"Aix la Chapelle,Aix-la-Chapelle"
NeubourgDuche,Neubourg
GambassiTerme,Cambassi
MonteCavallo,Monte cavallo
EmpireOrient,Empire d’Orient
ThebesEgypte,Tebes
CastelFranco,Castel Franco
FrancheComte,Franche Comté
Ripatransone,Ripa Transone
PortoErcole,Porto Hercolé
Schaffhouse,Schaffouse
Montpellier,Montpellier
Portovenere,Porto-Venere
Versailles,Versailles
Mauritanie,Mauritanie
Angleterre,"Grande Brétagne,Inghilterra,Angleterrre,Angleterre"
Strasbourg,Strasbourg
Pessinonte,Pessinonte
Alexandrie,"Alessandria,Alexandrie"
Samothrace,Samotrace
Beauregard,Beauregar
Caravaggio,"Bourg de Caravage,Caravage"
Settignano,Settiniano
Flessingue,Flessingue
Westphalie,Westphalie
Ingolstadt,Ingolstad
Wurtzbourg,wirtbourg
Heidelberg,Heydelberg
Copenhague,Compenhague
Oudenaarde,OUDENARDE
Monferrato,MONFERRATO
Allemagne,"Allemange,Allemagne,Alemagne,Alemagna,Germania"
Lombardie,"Lombardia,Lomdardie,Lombardie"
Plaisance,Plaisance
Nuremberg,Nuremberg
Languedoc,Languedoc
Marseille,Marseille
Albigeois,"l'isle d'Albigeois,Alby"
Valduggia,Valdugia
Jerusalem,"Ierusalemme,Jerusalem"
Metaponte,Metaponte
MontLiban,Mont Liban
Pouzzoles,Pouzzole
Augsbourg,"Augustanus,Ausbourg"
Bruxelles,"Brusselles,Brusseles,Bruxelles"
Amsterdam,"Amstelaedami,Amsterodami,AMSTERDAM,Amsterdam"
Macedoine,"Macedonia,Macedoine,Macédoine"
