ID,Nom
Aaron,Aaron
Abel,Abel
AbelServien,Abel Servien
AbgarV,Abgar V
Abraham,Abraham
Achab,Achab
Achille,Achille
Adam,Adam
Adiafare,Adiafare
Adonis,Adonis
Adramalech,Adramalech
AeliusLampridius,Aelius Lampridius
AeliusSpartianus,Aelius Spartianus
Agamemnon,Agamemnon
Agatarque,Agatarque
Agenor,Agénor
Agesandros,Agésandros
Aglaophon,Aglaophon
Aglaure,Aglaure
AgnoloDoni,Agnolo Doni
AgostinoChigi,Agostino Chigi
AgrippaIer,"Agrippa I,Agrippa Premier,Agrippa premier"
Ajax,Ajax
Alaric,Alaric
AlbertRubens,Albert Rubens
AlbertVII,Albert VII
Alcamene,Alcamène
AlchidiaRodio,Alchidia Rodio
Alcibiade,Alcibiade
AlexandreFarnese,Alexandre Farnese
AlexandreLeGrand,Alexandre le Grand
AlexandreSevere,Alexandre Sévère
AlexandreVI,"Roderic Llançol i de Borja,Alexandre VI"
Alofili,Alofili
AlphonseIEste,Alphonse I d'Este
AlphonseV,"Aragon,Alphonse V"
AmbrogioSpinola,"Ambrogio Spinola Doria,Marquis Spinola"
Amphiaraos,Amphiaraos
Amphion,Amphion
Anacreon,Anacréon
Anaxagore,Anaxagore
Anchise,Anchise
AndreaAlciato,Andrea Alciato
AndreaGritti,"Gritti,Doge Gritti"
AndreasVanWesel,"Andreas van Wesel,Andrea Vesalio"
AndreThevet,Andre Thevet
Androcydes,Androcydès
Andromede,Andromède
AngeGabriel,L'Ange Gabriel
AnneDAutriche,Anne d'Autriche
AnneDeJoyeuse,Anne de Joyeuse
AnneMarieLouiseDOrleans,"Anne-Marie-Louise d'Orléans,Grande Mademoiselle"
Antinous,Antinoüs
AntipaterDeBostra,Antipater de Bostra
Antiphile,Antiphile
Antisthene,Antisthène le Corroyeur
AntoineDeRatabon,Antoine de Ratabon
AntoineFouquier,Antoine Quentin Fouquier de Tinville
AntoineGodeau,Antoine Godeau
AntoineGodeau,Charles Premier
AntoinePech,Antoine Pech
AntonFrancescoDoni,Anton Francesco Doni
AntoninLePieux,Antonin Le Pieux
AntonioBarberini,Antonio Barberini
AntonioBosio,"Antonio Bosio,Bosius"
AntonioCapella,"Antonio Capella,Antoine Capelle"
AntonioMariaCiocchiDelMonte,Antonio Maria Ciocchi del Monte
Apaturius,Apaturius
Apelle,Apelle
Apollodore,Apollodore
Apollon,"Apollon,Apolline"
Appien,Appien
Apulee,"Lucius Apuleius,Apulée"
Arcadius,Arcadius
ArchelaosI,"Archélaos Ier,Archélaos Premier,Archélaos premier"
Archimede,Archimède
ArdicesDeCorinthe,Ardicès de Corinthe
Arellius,Arellius
Argellius,Argellius
Ariane,Ariane
Aristeas,Aristéas de Corinthe
Aristide,Aristide de Thèbes
Aristodeme,Aristodème
Aristophane,Aristophane
Aristote,Aristote
ArmandDeBourbonConti,Armand de Bourbon-Conti
ArmandJeanDuPlessisDeRichelieu,"Armand Jean du Plessis de Richelieu,Cardinal de Richelieu,Richelieu"
ArmandJeanVignerotDuPlessis,"Armand-Jean de Vignerot du Plessis,Duc de Richelieu"
ArnaudColomiez,Arnaud Colomiez
Arrien,Arrien
Artaxerxes,Artaxerxès
ArtaxerxesII,"Artaxerxès Mnémon,Artaxerxès II"
ArtaxerxesIII,"Ochos,Artaxerxès III"
ArtaxiasI,"Artaxias I,Artaxias Premier,Artaxias premier"
ArtemiseI,"Artémise I,Artémise Premier,Artémise premier"
Asclepiodore,Asclépiodore
Astaroth,Astaroth
Astarte,Astarté
Atalante,Atalante
Atargatis,"Atargatis,Décerto"
Athenodore,Athenodore
AttaleII,"Attale II,Attale II Philadelphe"
Attila,Attila
AttiusPriscus,Atticus Priscus
Auguste,Auguste
AureliusVictorAfer,Sextus Aurelius Victor Afer
Azarias,Azarias
Baal,Baal
Bacchus,Bacchus
BaldassareTurini,Baldassare Turini
BasileFouquet,Basile Fouquet
BasileValentin,Basile Valentin
Belchim,Belchim
Belus,Belus
