NomAuteur,PrenomAuteur,FicheISNI,DBI/ARK,TitreOuvrage,LieuEdition,Editeur,Date,USTC,BiblioConservation,PaysConservation,VilleConservation,LienReproduction,Droits,EditionsModernes,Traductions,BibliographieSelective,Licence,ContributeursEmmaBondoerffer,ContributeursAnaïsMazoué,ContributeursTeklia,ContributeursHippolyteFaré,ContributeursCortoRolaz,ContributeursOctavePhilibert,ContributeursAlessiaAvena,ContributeursYoussoufDiawara,ContributeursJuliaCastiglione,ContributeursAnnaSconza,ContributeursIreneCalcagno,NiveauTranscription,SpecificitesDuXML,StructureFichierXML
Bosse,Abraham,http://isni.org/isni/0000000121355423,https://data.bnf.fr/fr/ark:/12148/cb118930604,"Sentimens sur la distinction des diverses manieres de peinture, dessein & graveure, & des originaux d'avec leurs copies. Ensemble du choix des sujets, & des chemins pour arriver facilement & promptement à bien pourtraire.",Paris,Pierre Des Hayes,1649,http://catalogue.bnf.fr/ark:/12148/cb30134732p,Bibliothèque nationale de France,France,Paris,https://gallica.bnf.fr/ark:/12148/btv1b8612040z,"Gallica, Bibliothèque nationale de France",,,,,"Transcription, Balisage, Indexation",,,,,,,,,,,Niveau 0,"Transkribus avec paragraph-continued, passé uniquement par scripts",body avec div des heading Transkribus
Bosse,Abraham,http://isni.org/isni/0000000121355424,https://data.bnf.fr/fr/ark:/12148/cb118930604,Traité des pratiques géométrales et perspective enseignée dans l'Académie royale de peinture et scupture,Paris,Antoine Cellier,1665,http://catalogue.bnf.fr/ark:/12148/cb30134737d,Bibliothèque nationale de France,France,Paris,https://gallica.bnf.fr/ark:/12148/bpt6k1083747,"Gallica, Bibliothèque nationale de France",,,,,"Transcription, Balisage, Indexation",,,,,,,,,,,Niveau 0,"Transkribus avec paragraph-continued, passé uniquement par scripts",body avec div des heading Transkribus
Bosse,Abraham,http://isni.org/isni/0000000121355425,https://data.bnf.fr/fr/ark:/12148/cb118930604,"Traicté des manieres de graver en taille douce sur l'airin . Par le Moyen des Eauxs Fortes, & des Vernix Durs & Mols. Ensemble de la façon d'en Imprimer les Planches, & d'en Construire la Presse, & autres choses concernans lesdits Arts.",Paris,"chez ledit Bosse, en l'Isle du Palais, à la Rozerouge, devant la Megisserie",1645,https://catalogue.bnf.fr/ark:/12148/cb40021779b,Bibliothèque nationale de France,France,Paris,https://gallica.bnf.fr/ark:/12148/btv1b8626172s,"Gallica, Bibliothèque nationale de France",,,,,"Transcription, Balisage, Indexation",,,,,,,,,,,Niveau 0,"Transkribus avec paragraph-continued, passé uniquement par scripts",body avec div des heading Transkribus
"Sanzio, Castiglione","Raphaël, Baldassarre",https://isni.org/isni/000000012136483X;  https://isni.org/isni/0000000121007795,https://data.bnf.fr/ark:/12148/cb12215591q ; https://data.bnf.fr/ark:/12148/cb123195492,"Lettera a Leone X, Mantova, Archivio Privato Castiglioni, documenti Sciolti, a), n. 12, [1519], dans Opere volgari, e latine del conte Baldessar Castiglione. Novellamente raccolte, ordinate, ricorrette, ed illustrate, come nella seguente lettera può vedersi, da Gio. Antonio, e Gaetano Volpi, p. 429-436",Padova,Comino,1733,https://opac.sbn.it/risultati-ricerca-avanzata/-/opac-adv/index/1/ITICCULO1E003806?fieldvalue%5B1%5D=opere+volgari%2C+e+latine+del+conte+baldessar+castiglione.+novellamente+raccolte%2C+ordinate%2C+ricorrette%2C+ed+illustrate%2C+come+nella+seguente+lettera+puo+vedersi%2C+da+gio.+antonio%2C+e+gaetano+volpi+...&fieldaccess%5B1%5D=Titolo%3A4%3Anocheck&fieldstruct%5B1%5D=ricerca.frase_esatta%3A4%3D7&fieldop%5B1%5D=AND%3A%40and%40&struct%3A3008=ricerca.frase%3A4%3D1&item_nocheck%3A7017%3ATipo_spec_mat=&long_emisfero_a=&struct%3A8019=ricerca.parole_almeno_una%3A%40or%40&struct%3A3087=ricerca.parole_tutte%3A4%3D6&struct%3A3091=ricerca.parole_tutte%3A4%3D6&item_nocheck%3A1012%3AData_aggiornamento%3A4%3A4=&item_nocheck%3A3020%3AOrganico_analitico_composizione=&item_nocheck%3A1025%3ATonalita=&lat_primi_a=&_cacheid=1739899146086&long_primi_a=&long_gradi_da=&item_nocheck%3A7018%3ASupporto_prim=&long_secondi_a=&struct%3A5533=ricerca.parole_almeno_una%3A%40or%40&item_nocheck%3A7023%3ATipo=&item%3A3087%3AMarca=&item_nocheck%3A5515%3ATipo_materiale_video=&item_nocheck%3A7022%3ADes_fun=&struct%3A3022=ricerca.parole_tutte%3A4%3D6&long_gradi_a=&struct%3A3020=ricerca.parole_tutte%3A4%3D6&item%3A7002%3ARapporto_scala_or%3A4%3A4=&struct%3A1001=ricerca.parole_almeno_una%3A%40or%40&item_nocheck%3A3091%3ASegnatura=&struct%3A3024=ricerca.parole_tutte%3A4%3D6&filter%3A3088%3ABiblioteca=&item_nocheck%3A5521%3AMateriale_accompagnamento=&item_nocheck%3A7020%3ATec_dis=&lat_emisfero_a=&struct%3A3018=ricerca.parole_tutte%3A4%3D6&item%3A7003%3ARapporto_scala_ver%3A4%3A4=&item_nocheck%3A5011%3ATipo_elaborazione=&filter%3A31%3AAnno_pubblicazione%3A4%3A4=&item_nocheck%3A3041%3AIncipit=&item_nocheck%3A5528%3ATipo_suono=&item_nocheck%3A7004%3AMeridiano=&item_nocheck%3A5120%3AProiezione=&lat_emisfero_da=&long_secondi_da=&item_nocheck%3A5520%3ATecnica_registrazione=&item_nocheck%3A3008%3AImpronta=&item_nocheck%3A1001%3ATipo_documento_sonoro=&item_nocheck%3A1012%3AData_aggiornamento%3A2%3A4=&item_nocheck%3A3018%3AOrganico_sintetico_composizione=&item_nocheck%3A7019%3AColore_graf=&filter_nocheck%3A55%3APaese=&struct%3A3050=ricerca.parole_tutte%3A4%3D6&filter_nocheck%3A54%3ALingua=&item_nocheck%3A7000%3ATipo_scala=&lat_gradi_da=&item%3A7016%3ANote_contenuto_abstract=&item%3A3050%3APersonaggio=&item_nocheck%3A3022%3AOrganico_sintetico_elaborazione=&item%3A3058%3ALuogo=&item_nocheck%3A5530%3ATecnica_registrazione=&filter_nocheck%3A1021%3ALivello_bibliografico=&item_nocheck%3A5533%3AFormato=&item_nocheck%3A3024%3AOrganico_analitico_elaborazione=&item_nocheck%3A5516%3AColore_video=&item_nocheck%3A7001%3ATipo_scala=&lat_secondi_da=&item%3A7002%3ARapporto_scala_or%3A2%3A4=&lat_secondi_a=&lat_gradi_a=&struct%3A5522=ricerca.parole_almeno_una%3A%40or%40&item_nocheck%3A3090%3APresentazione=&item_nocheck%3A7021%3ATec_stampe=&item_nocheck%3A5529%3AMateriale_accompagnamento_sn=&item_nocheck%3A5522%3AFormato=&item%3A7003%3ARapporto_scala_ver%3A2%3A4=&long_emisfero_da=&struct%3A3058=ricerca.parole_tutte%3A4%3D6&struct%3A7016=ricerca.parole_tutte%3A4%3D6&long_primi_da=&filter%3A31%3AAnno_pubblicazione%3A2%3A4=&lat_primi_da=&item%3A3014%3AForma=,Bibliothèque nationale centrale de Florence,Italie,Florence,https://books.google.fr/books?id=bAad_6Ro5AwC&printsec=frontcover&hl=fr&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,Google books,"Francesco P. Di Teodoro, Raffaello, Baldassar Castiglione e la Lettera a Leone X, pres. Maria Dalai Emiliani, Bologna, Nuova Alfa, coll. Rapporti n. 74, 1994","La lettre à Léon X, éd. Francesco Paolo Di Teodopo, trad. Françoise Choay et Michel Paoli, éd.de l'imprimeur, coll. Tranches de Villes, 2005","Francesco Paolo Di Teodoro, Lettera a Leone X di Raffaello e Baldassarre Castiglione, Firenze, Olschki, 2020, coll. Biblioteca dell'Archivum romanicum, serie 1, Storia, letteratura, paleografia, 503; Raffaello, Gli scritti : lettere, firme, sonetti, saggi tecnici e teorici, ed. Ettore Camesasca et Giovanni M. Piazza, Milan, BUR, 1994",,,,,,,,,,,,,Niveau 0,Transkribus sans paragraph-continued,
Félibien,André,http://isni.org/isni/0000000121355570,https://data.bnf.fr/fr/ark:/12148/cb11902499b,Entretiens sur les vies et sur les ouvrages des plus excellens peintres anciens et modernes,Paris,Pierre le Petit,1666-1688,http://catalogue.bnf.fr/ark:/12148/cb304252874,Bibliothèque nationale de France,France,Paris,https://gallica.bnf.fr/ark:/12148/bpt6k10402281,"Gallica, Bibliothèque nationale de France",,,,,"Transcription, Balisage, Indexation","Transcription, Balisage, Indexation",Transcription,,,,,,Transcription,,,Niveau 1,"L1 > Deux entretiens (E1 et E2) 1 chapitre = 1 personne. / Transcription à partir d'une édition moderne. (relue avant l'index, balisage NER uniquement auto) / 2 fois les pages 159 et 160 / chapitres par personne à partir du découpage de l'édition moderne / L2 > Deux entretiens (E3 et E4) pas de chapitres / L3 > Deux entretiens (E5 et E6) Pas de chapitres / L4 > Deux entretiens (E7 et E8) Pas de chapitres / L5 > Deux entretiens (E9 et E10) + 2 chapitres ",
Fréart/Salvini,Anton Maria,https://isni.org/isni/0000000121260854; https://isni.org/isni/0000000121394238,https://data.bnf.fr/ark:/12148/cb11903494v; https://data.bnf.fr/fr/ark:/12148/cb12103637b,Idea della perfezione della pittura di m.r Rolando Freart tradotta dal francese da Anton Maria Salvini e pubblicata per la prima volta dal canonico Domenico Moreni con una dissertazione apologetica in fine di Michelangelo Buonarroti scritta dal sig. Onofrio Boni ,Florence,Appresso Carli e compo. in Borgo SS. Apostoli,1809,https://opac.sbn.it/risultati-ricerca-avanzata/-/opac-adv/index/1/ITICCURMRE002018?fieldvalue%5B1%5D=salvini%2C+idea+della+perfezione+della+pittura&fieldaccess%5B1%5D=Keywords%3A1016&fieldstruct%5B1%5D=ricerca.parole_tutte%3A4%3D6&struct%3A1001=ricerca.parole_almeno_una%3A%40or%40,"Rome, Bibliotheca Hertziana, Max Planck Institut ",Italie,Rome,dlib.biblhertz.it/ghcha44514090,"Rome, Bibliotheca Hertziana, Max Planck Institut ","Fréart, Roland, Idee de la perfection de la peinture, ed. Jacques Ysambart, Mans 1662",,"Roland Fréart de Chambray, Parallèle de l'architecture antique avec la moderne, suivie par Idée de la perfection de la peinture, éd. Frédérique Lemerle-Pauwels, Paris, ÉNSBA, 2005, coll. Beaux-Arts Histoire",,"Transcription, Structuration",,,,,"Correction, Balisage, Indexation",,,,,,Niveau 2,"pb du front pas numérotées. Section de C2SC3 à revoir, pour identifier stampa 4.",front (titlePage + gap + dedicace + preface + avertissement) + body (2 chap : C1 = 5SC + C2 = 5SC [Stampa 4 pas identifiée]) 
Zuccari,Federico,https://isni.org/isni/0000000453031871,https://data.bnf.fr/ark:/12148/cb12412468j,"L’idea de'pittori, scultori, et architetti",Turin,Agostino Disserolio,1607,https://www.ustc.ac.uk/editions/4033938,Bibliothèque nationale de France,France,Paris,https://gallica.bnf.fr/ark:/12148/bpt6k1912377t/f141.vertical,"Gallica, Bibliothèque nationale de France",,,,,,,Transcription,,,"Correction, Structuration, Balisage, Indexation",,,Correction,,,Niveau 2,,front (titlePage) + body (17 chapitres)
Zuccari,Federico,https://isni.org/isni/0000000453031871,http://ark.bnf.fr/ark:/12148/cb12412468j,"Lettera a prencipi, et signori amatori del dissegno, pittura, scultura, et architettura",Mantova,Francesco Osanna,1605,à compléter,Google (à changer),,,,,,,,,Balisage,,Transcription,,,"Correction, Structuration, Balisage, Indexation",,,Correction,Correction,,Niveau 2,"pas de numérotation dans l'imprimé, pb 1 commence dans body et continue dans back",front (titlePage + eloges) + body (Lettre) + back (dedicace + postface)
Lomazzo,Giovanni Paolo,https://isni.oclc.org/cbs/DB=1.2/SET=1/TTL=1/CMD?ACT=SRCH&IKT=8006&SRT=LST_nd&TRM=Lomazzo,https://data.bnf.fr/ark:/12148/cb12358011k,Idea del tempio della pittura,Milano,Paolo Gottardo Ponto,1590,https://www.ustc.ac.uk/editions/838469,Bibliothèque nationale de France,France,Paris,https://gallica.bnf.fr/ark:/12148/bpt6k111876v,Biblioteca nazionale centrale di Roma,"Gian Paolo Lomazzo, Idea del tempio della pittura, ed. Instituto delle Scienze, Bologna, 1785 Gian Paolo Lomazzo, Idea del tempio della pittura, ed. Colombo, Roma, 1947 Gian Paolo Lomazzo, Idea del tempio della pittura, ed. R. P. Ciardi, Firenze, 1973 Gian Paolo Lomazzo, Idea del tempio della pittura, ed. R. Klein, Firenze, 1974","Gian Paolo Lomazzo, Idea del tempio della pittura, ed. R. Klein, Firenze, 1974",,,,,,,"Correction, Structuration, Balisage, Indexation",,,,Transcription,,,Niveau 2,,front (titlePage + dedicace + poemes) + body (L1 [38 chapitres])
Huret,Grégoire,http://isni.org/isni/0000000109120963,https://data.bnf.fr/fr/ark:/12148/cb12191860s,"La regle precise, pour descrire le profil eslevé du fust des colomnes, suivant une hauteur, grosseur, et retrécissement donné à discretion, demonstrée geometriquement. [...]",Paris,Edme Martin,1665,http://catalogue.bnf.fr/ark:/12148/cb39316816c,Bibliothèque nationale de France,France,Paris,https://gallica.bnf.fr/ark:/12148/bpt6k1509638p.r=La%20regle%20precise%2C%20pour%20descrire%20le%20profil%20eslev%C3%A9%20du%20fust%20des%20colomnes?rk=21459;2,"Gallica, Bibliothèque nationale de France",,,,,"Transcription, Correction, Structuration, Balisage, Indexation",,,,,,,,,,,Niveau 2,,front (titlePage + preface) + body (2 chapitres [43 et 10 section] + 1 conclusion) 
