Nom,Prenom,ISNI,Titre,Lieu,Editeur,Annee,ContributeursTeklia,ContributeursAnaïsMazoué,ContributeursEmmaBondoerffer,ContributeursIreneCalcagno,ContributeursJuliaCastiglione,ContributeursMemofonte,ContributeursATIR,ContributeursAutres,LienEdRef,Droits
Armenini,Giovan Battista,https://isni.org/isni/0000000118388240,"De' veri precetti della pittura di M. Gio. Battista Armenini da Faenza libri tre: Ne' quali con bell' ordine d' utili, & buoni avertimenti, per chi desidera in essa farsi con prestezza eccellente; si dimostrano i modi principali del disegnare, & del dipingere, & de fare le Pitture, che si convengono alle conditioni de' luoghi, & delle persone. Opera non solo utile, & necessaria à tutti gli Artefici per cagion del disegno; lume, & fondamento di tutte l' altre arti minori, ma anco à ciascun' altra persona intendente di cosi nobili professione. Al Sereniss. Sig. il Signor Guglielmo Gonzaga Duca di Mantova, di Monferrato, &c. (Ravenna: Francesco Tebaldini, 1586)",Ravenna,Francesco Tebaldini,1586,,Transcription,Structuration,,,Edition travaillée à partir de la transcription de Memofonte,,,"https://www.digitale-sammlungen.de/en/view/bsb10151942?page=16,17",CC
Baglione,Giovanni,https://isni.org/isni/0000000116901477,"Le vite de' pittori, scultori et architetti dal pontificato di Gregorio XIII del 1572 infino a' tempi di Papa Urbano Ottavo nel 1642",Roma,Andrea Fei,1642,,Transcription,Structuration,,,,Edition travaillée à partir de la transcription d'ATIR,,"https://digi.ub.uni-heidelberg.de/diglit/baglione1642/0005/image,info,thumbs",CC Public Domain Mark 1.0 Universal
Baldinucci,Filippo,https://isni.org/isni/0000000121032229,"Notizie de' professori del disegno da Cimabue in qua, per le quali si dimostra come, e per chi le bell’Arti di Pittura, Scultura, e Architettura lasciata la rozzezzadelle maniere Greca, e Gottica, si siano in questi secoli ridotte all’antica loro perfezione.",Firenze,Santi Franchi,1681,,,Structuration,,,,,CRUSCA,https://baldinucci.accademiadellacrusca.org/ed-notizie-v1,CC
Baldinucci,Filippo,https://isni.org/isni/0000000121032229,Vocabolario toscano dell'arte del disegno,Firenze,Santi Franchi,1681,,,Structuration,,,,,CRUSCA,https://baldinucci.accademiadellacrusca.org/sfoglia/1,CC
Bellori,Giovanni Pietro,https://isni.org/isni/0000000114785193,"Le vite de' pittori, scultori et architetti moderni , scritte da Gio. Pietro Bellori...",Roma,Mascardi,1672,,Transcription,Structuration,,,,Edition travaillée à partir de la transcription d'ATIR,,https://gallica.bnf.fr/ark:/12148/bpt6k851200q.r=bellori%2C%20vite?rk=42918;4,BnF/Gallica
Celio,Gaspare,https://isni.org/isni/0000000066301704,"Memoria delli nomi dell'artefici delle pitture, che sono in alcune chiese, facciate, e palazzi di Roma",Napoli,Scipione Bonino,1638,,,Transcription,Structuration,,,,,https://books.google.fr/books?id=MXRlURwuLvAC&printsec=frontcover&hl=fr&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,CC
Cellini,Benvenuto,https://isni.org/isni/000000012101539X,Vita di Benvenuto Cellini orefice e scultore Fiorentino,Colonia,Pietro Martello,1728,,Transcription,Structuration,,,,Edition travaillée à partir de la transcription d'ATIR,,https://www.google.fr/books/edition/Vita_di_Benvenuto_Cellini_orefice_e_scul/qfPBF62yQPQC?hl=fr&gbpv=0,CC
Condivi,Ascanio,https://isni.org/isni/0000000107972863,Vita di Michelagnolo Buonarroti raccolta per Ascanio Condivi da la Ripa Transone,Roma,Antonio Blado,1553,,Transcription,Structuration,,,,Edition travaillée à partir de la transcription d'ATIR,,https://it.wikisource.org/wiki/Vita_di_Michelagnolo_Buonarroti_raccolta_per_Ascanio_Condivi_da_la_Ripa_Transone,© Attribution Non-Commercial (BY-NC)
Testelin,Henry,https://isni.org/isni/0000000424569752,"Conférences de l'Académie royale de Peinture et de Scultpure (1648-1681), t.I","Paris, ENSBA","sous la dir. Christian Michel, Jcqueline Lichtenstein",2006,,,,,,,,DFK Paris (Deutsches Forum für Kunstgeschichte Paris),https://perspectivia.net/publikationen/conference/conferences_tome1,© Max Weber Stiftung 2026
de Saint Georges,Georges Guillet,https://isni.org/isni/0000000079760360,"Conférences de l'Académie royale de Peinture et de Scultpure (1682-1699), t. II","Paris, ENSBA","sous la dir. Christian Michel, Jcqueline Lichtenstein",2009,,,,,,,,DFK Paris (Deutsches Forum für Kunstgeschichte Paris),https://perspectivia.net/receive/ploneimport_mods_00000005,© Max Weber Stiftung 2027
Dolce,Lodovico,https://isni.org/isni/0000000121179490,Dialogo della pittura,Venezia,Gabriele Gioliti de' Ferrari,1557,,Transcription,Structuration,,,Edition travaillée à partir de la transcription de Memofonte,,,https://www.memofonte.it/home/files/pdf/scritti_dolce.pdf,Fondazione Memofonte © 2008 - 2022
Félibien,André,https://isni.org/isni/0000000121355570,"Entretiens sur les vies et sur les ouvrages des plus excellens peintre, anciens et modernes, 1e partie",Paris,Pierre Le Petit,1666,Transcription,,Structuration,,,,,,https://gallica.bnf.fr/ark:/12148/bpt6k10402281.r=entretiens%20f%C3%A9libien?rk=107296;4,BnF/Gallica
Félibien,André,https://isni.org/isni/0000000121355571,"Entretiens sur les vies et sur les ouvrages des plus excellens peintre, anciens et modernes, 2e partie",Paris,Sébastien Mabre-Cramoisy,1672,Transcription,,,,Structuration,,,,https://gallica.bnf.fr/ark:/12148/bpt6k1040250v.r=entretiens%20f%C3%A9libien?rk=21459;2,BnF/Gallica
Félibien,André,https://isni.org/isni/0000000121355572,"Entretiens sur les vies et sur les ouvrages des plus excellens peintre, anciens et modernes, 3e partie",Paris,Jean-Baptibte Coignard,1679,Transcription,,Structuration,,,,,,https://gallica.bnf.fr/ark:/12148/bpt6k1040252p.r=entretiens%20f%C3%A9libien?rk=42918;4,BnF/Gallica
Félibien,André,https://isni.org/isni/0000000121355573,"Entretiens sur les vies et sur les ouvrages des plus excellens peintre, anciens et modernes, 4e partie",Paris,Sébastien Mabre-Cramoisy,1685,Transcription,,Structuration,,,,,,https://gallica.bnf.fr/ark:/12148/bpt6k1040254h.r=entretiens%20f%C3%A9libien?rk=64378;0,BnF/Gallica
Félibien,André,https://isni.org/isni/0000000121355574,"Entretiens sur les vies et sur les ouvrages des plus excellens peintre, anciens et modernes, 5e partie",Paris,Sébastien Mabre-Cramoisy,1688,Transcription,,Structuration,,,,,,https://gallica.bnf.fr/ark:/12148/bpt6k1040256b.r=entretiens%20f%C3%A9libien?rk=85837;2,BnF/Gallica
Lomazzo,Giovanni Paolo,https://isni.org/isni/0000000121427781,Trattato della pittura,Milano,Paolo Gottardo Pontio / éd. Ciardi 1973,1584,,Transcription,Structuration,,,,Edition travaillée à partir de la transcription d'ATIR,,https://books.google.fr/books?id=k16wKRtVntsC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,CC
Passeri,Giovanni Battista,https://isni.org/isni/0000000108148200,"Vite de pittori, scultori ed architetti che anno lavorato in Roma, morti dal 1641 fino al 1673",Roma,Gregorio Settari,1673 (1772),,,"Transcription, Structuration",,,,Edition travaillée à partir de la transcription d'ATIR,,https://www.google.fr/books/edition/Vite_de_pittori_scultori_ed_architetti/eqBZOUW7z04C?hl=it&gbpv=1,CC
Pino,Paolo,https://isni.org/isni/0000000120990804,Dialogo di pittura,Venezia,Paolo Gherardo,1548,,Transcription,Structuration,,,,Edition travaillée à partir de la transcription d'ATIR,,https://www.memofonte.it/home/files/pdf/scritti_pino.pdf,Fondazione Memofonte © 2008 - 2022
Varchi,Benedetto,https://isni.org/isni/0000000121011049,Due lezzioni,Firenze,Lorenzo Torrentino,1549,,Transcription,Structuration,,,Edition travaillée à partir de la transcription de Memofonte,,,https://www.memofonte.it/home/files/pdf/scritti_varchi1.pdf,Fondazione Memofonte © 2008 - 2023
Vasari,Giorgio,https://isni.org/isni/0000000121309590,"Le vite de piu eccellenti architetti, pittori, et scultori italiani da Cimabue insino a' tempi nostri",Firenze,Lorenzo Torrentino,1550,,Transcription,Structuration,,,Edition travaillée à partir de la transcription de Memofonte,,,https://vasari.sns.it/,CC - SNS Pisa
Vasari,Giorgio,https://isni.org/isni/0000000121309591,"Le vite de' piu eccellenti pittori, scultori, e architettori",Firenze,Giunti,1568,,Transcription,Structuration,,,Edition travaillée à partir de la transcription de Memofonte,,,https://vasari.sns.it/,CC - SNS Pisa
