document_xml,artist_xml_id,count
Agucchi_TrattatoPittura.xml,Agucchi,2
Agucchi_TrattatoPittura.xml,AlbrechtDurer,1
Agucchi_TrattatoPittura.xml,AlessandroAlgardi,3
Agucchi_TrattatoPittura.xml,AndreaDelSarto,1
Agucchi_TrattatoPittura.xml,BaldassarrePeruzzi,1
Agucchi_TrattatoPittura.xml,Caravage,1
Agucchi_TrattatoPittura.xml,Carrache,96
Agucchi_TrattatoPittura.xml,Correge,6
Agucchi_TrattatoPittura.xml,DomenicoBeccafumi,1
Agucchi_TrattatoPittura.xml,JacopoBassano,1
Agucchi_TrattatoPittura.xml,LeonardoDaVinci,1
Agucchi_TrattatoPittura.xml,MichelAnge,3
Agucchi_TrattatoPittura.xml,Raphael,7
Agucchi_TrattatoPittura.xml,SimonGuillainII,2
Agucchi_TrattatoPittura.xml,Titien,5
Alberti_DellaPittura.xml,FrancescoSalviati,1
Alberti_DellaPittura.xml,Giotto,1
Alberti_DellaPittura.xml,LeonBattistaAlberti,4
Armenini_PrecettiDellaPitturaATIR.xml,AlbrechtDurer,2
Armenini_PrecettiDellaPitturaATIR.xml,AndreaDelSarto,2
Armenini_PrecettiDellaPitturaATIR.xml,BaccioBandinelli,1
Armenini_PrecettiDellaPitturaATIR.xml,BaldassarrePeruzzi,1
Armenini_PrecettiDellaPitturaATIR.xml,BernardinoCampi,2
Armenini_PrecettiDellaPitturaATIR.xml,Cimabue,1
Armenini_PrecettiDellaPitturaATIR.xml,Correge,9
Armenini_PrecettiDellaPitturaATIR.xml,CosimoRosselli,1
Armenini_PrecettiDellaPitturaATIR.xml,DanieleBarbaro,1
Armenini_PrecettiDellaPitturaATIR.xml,DanieleDaVolterra,1
Armenini_PrecettiDellaPitturaATIR.xml,GiorgioVasari,2
Armenini_PrecettiDellaPitturaATIR.xml,Giorgione,3
Armenini_PrecettiDellaPitturaATIR.xml,Giotto,8
Armenini_PrecettiDellaPitturaATIR.xml,GiovanniBattistiArmenini,4
Armenini_PrecettiDellaPitturaATIR.xml,GiulioRomano,20
Armenini_PrecettiDellaPitturaATIR.xml,GuidoReni,1
Armenini_PrecettiDellaPitturaATIR.xml,HennequinDeBruges,1
Armenini_PrecettiDellaPitturaATIR.xml,LeonBattistaAlberti,2
Armenini_PrecettiDellaPitturaATIR.xml,LeonardoDaVinci,16
Armenini_PrecettiDellaPitturaATIR.xml,MartinoBassi,2
Armenini_PrecettiDellaPitturaATIR.xml,MaturinoFiorentino,3
Armenini_PrecettiDellaPitturaATIR.xml,MichelAnge,31
Armenini_PrecettiDellaPitturaATIR.xml,Parmigianino,7
Armenini_PrecettiDellaPitturaATIR.xml,Perugin,6
Armenini_PrecettiDellaPitturaATIR.xml,PietroBuonaccorsi,3
Armenini_PrecettiDellaPitturaATIR.xml,PolidoroDaCaravaggio,2
Armenini_PrecettiDellaPitturaATIR.xml,PomponioVecellio,1
Armenini_PrecettiDellaPitturaATIR.xml,Pordenone,6
Armenini_PrecettiDellaPitturaATIR.xml,Raphael,14
Armenini_PrecettiDellaPitturaATIR.xml,RossoFiorentino,5
Armenini_PrecettiDellaPitturaATIR.xml,SebastianoDelPiombo,1
Armenini_PrecettiDellaPitturaATIR.xml,SebastianoSerlio,2
Armenini_PrecettiDellaPitturaATIR.xml,Titien,6
Baglione_ViteATIR.xml,Agucchi,3
Baglione_ViteATIR.xml,AlbertiDurante,9
Baglione_ViteATIR.xml,AlbrechtDurer,3
Baglione_ViteATIR.xml,AndreaDelSarto,4
Baglione_ViteATIR.xml,AndreaMantegna,1
Baglione_ViteATIR.xml,AndreaPalladio,2
Baglione_ViteATIR.xml,BaccioBandinelli,2
Baglione_ViteATIR.xml,Baroccio,13
Baglione_ViteATIR.xml,Bassano,1
Baglione_ViteATIR.xml,Bramante,5
Baglione_ViteATIR.xml,Caravage,20
Baglione_ViteATIR.xml,Carrache,12
Baglione_ViteATIR.xml,CesareDaSesto,1
Baglione_ViteATIR.xml,CesareNebbia,7
Baglione_ViteATIR.xml,CesareRipa,11
Baglione_ViteATIR.xml,CherubinoAlberti,5
Baglione_ViteATIR.xml,Correge,12
Baglione_ViteATIR.xml,DanieleDaVolterra,4
Baglione_ViteATIR.xml,Dante,1
Baglione_ViteATIR.xml,DomenicoFontana,9
Baglione_ViteATIR.xml,Dominiquin,1
Baglione_ViteATIR.xml,Donatello,3
Baglione_ViteATIR.xml,EneaVico,1
Baglione_ViteATIR.xml,FrancescoCapriani,2
Baglione_ViteATIR.xml,FrancescoPrimaticcio,1
