xml_id,region,latitude,longitude,count
Agucchi,Émilie-Romagne,44.75,11.0,2
AlbrechtDurer,Allemagne,51.0,10.0,1
AlessandroAlgardi,Émilie-Romagne,44.75,11.0,3
AndreaDelSarto,Toscane,43.45,11.2,1
BaldassarrePeruzzi,Toscane,43.45,11.2,1
Caravage,Lombardie,45.65,9.95,1
Carrache,Émilie-Romagne,44.75,11.0,96
Correge,Émilie-Romagne,44.75,11.0,6
DomenicoBeccafumi,Toscane,43.45,11.2,1
JacopoBassano,Vénétie,45.733333333,11.85,1
LeonardoDaVinci,Toscane,43.45,11.2,1
MichelAnge,Toscane,43.45,11.2,3
Raphael,Marches,43.316666666,13.0,7
Titien,Vénétie,45.733333333,11.85,5
FrancescoSalviati,Toscane,43.45,11.2,1
Giotto,Toscane,43.45,11.2,1
LeonBattistaAlberti,Ligurie,44.45,8.766666666,4
AlbrechtDurer,Allemagne,51.0,10.0,2
AndreaDelSarto,Toscane,43.45,11.2,2
BaccioBandinelli,Toscane,43.45,11.2,1
BaldassarrePeruzzi,Toscane,43.45,11.2,1
BernardinoCampi,Lombardie,45.65,9.95,2
Cimabue,Toscane,43.45,11.2,1
Correge,Émilie-Romagne,44.75,11.0,9
CosimoRosselli,Toscane,43.45,11.2,1
DanieleBarbaro,Vénétie,45.733333333,11.85,1
DanieleDaVolterra,Toscane,43.45,11.2,1
GiorgioVasari,Toscane,43.45,11.2,2
Giorgione,Vénétie,45.733333333,11.85,3
Giotto,Toscane,43.45,11.2,8
GiovanniBattistiArmenini,Émilie-Romagne,44.75,11.0,4
GiulioRomano,Latium,41.9,12.716666666,20
GuidoReni,Émilie-Romagne,44.75,11.0,1
HennequinDeBruges,Belgique,50.641111111,4.668055555,1
LeonBattistaAlberti,Ligurie,44.45,8.766666666,2
LeonardoDaVinci,Toscane,43.45,11.2,16
MartinoBassi,Lombardie,45.65,9.95,2
MaturinoFiorentino,Toscane,43.45,11.2,3
MichelAnge,Toscane,43.45,11.2,31
Parmigianino,Émilie-Romagne,44.75,11.0,7
Perugin,Ombrie,42.983333333,12.566666666,6
PietroBuonaccorsi,Toscane,43.45,11.2,3
PolidoroDaCaravaggio,Lombardie,45.65,9.95,2
Pordenone,Frioul-Vénétie Julienne,46.1,13.116666666,6
Raphael,Marches,43.316666666,13.0,14
RossoFiorentino,Toscane,43.45,11.2,5
SebastianoDelPiombo,Vénétie,45.733333333,11.85,1
SebastianoSerlio,Émilie-Romagne,44.75,11.0,2
Titien,Vénétie,45.733333333,11.85,6
Agucchi,Émilie-Romagne,44.75,11.0,3
AlbertiDurante,Toscane,43.45,11.2,9
AlbrechtDurer,Allemagne,51.0,10.0,3
AndreaDelSarto,Toscane,43.45,11.2,4
AndreaMantegna,Vénétie,45.733333333,11.85,1
AndreaPalladio,Vénétie,45.733333333,11.85,2
BaccioBandinelli,Toscane,43.45,11.2,2
Baroccio,Marches,43.316666666,13.0,13
Bramante,Marches,43.316666666,13.0,5
Caravage,Lombardie,45.65,9.95,20
Carrache,Émilie-Romagne,44.75,11.0,12
CesareDaSesto,Lombardie,45.65,9.95,1
CesareNebbia,Ombrie,42.983333333,12.566666666,7
CesareRipa,Ombrie,42.983333333,12.566666666,11
CherubinoAlberti,Toscane,43.45,11.2,5
Correge,Émilie-Romagne,44.75,11.0,12
DanieleDaVolterra,Toscane,43.45,11.2,4
Dante,Toscane,43.45,11.2,1
DomenicoFontana,Suisse,46.798562,8.231973,9
Dominiquin,Émilie-Romagne,44.75,11.0,1
Donatello,Toscane,43.45,11.2,3
EneaVico,Émilie-Romagne,44.75,11.0,1
FrancescoCapriani,Toscane,43.45,11.2,2
FrancescoPrimaticcio,Émilie-Romagne,44.75,11.0,1
Gaudenzio,Piémont,45.25,7.916666666,2
GiorgioVasari,Toscane,43.45,11.2,25
Giorgione,Vénétie,45.733333333,11.85,1
Giotto,Toscane,43.45,11.2,6
GiovanniBaglione,Latium,41.9,12.716666666,3
GiovanniFrancescoRustici,Toscane,43.45,11.2,1
GiovanniGiacomoDellaPorta,Lombardie,45.65,9.95,9
GirolamoMuziano,Lombardie,45.65,9.95,17
GiulioRomano,Latium,41.9,12.716666666,8
Guerchin,Émilie-Romagne,44.75,11.0,1
GuidoReni,Émilie-Romagne,44.75,11.0,3
JacopoBarozziDaVignola,Émilie-Romagne,44.75,11.0,3
JacopoTintoretto,Vénétie,45.733333333,11.85,2
LaviniaFontana,Émilie-Romagne,44.75,11.0,6
LeonardoDaVinci,Toscane,43.45,11.2,12
Maggiore,Lombardie,45.65,9.95,86
MarcantonioRaimondi,Émilie-Romagne,44.75,11.0,1
MarcoPino,Toscane,43.45,11.2,4
MichelAnge,Toscane,43.45,11.2,83
MinoDaFiesole,Toscane,43.45,11.2,1
NicoloDellAbbate,Émilie-Romagne,44.75,11.0,14
PaoloGuidotti,Toscane,43.45,11.2,2
PaoloVeronese,Vénétie,45.733333333,11.85,1
Parmigianino,Émilie-Romagne,44.75,11.0,3
Perugin,Ombrie,42.983333333,12.566666666,2
PeterPaulRubens,Allemagne,51.0,10.0,10
PierreDeCortone,Toscane,43.45,11.2,4
PietroBuonaccorsi,Toscane,43.45,11.2,11
PietroCavallini,Latium,41.9,12.716666666,2
PirroLigorio,Campanie,40.910555555,14.920555555,11
PolidoroDaCaravaggio,Lombardie,45.65,9.95,3
Raphael,Marches,43.316666666,13.0,36
RinaldoMantovano,Lombardie,45.65,9.95,4
RossoFiorentino,Toscane,43.45,11.2,2
SebastianoDelPiombo,Vénétie,45.733333333,11.85,2
Titien,Vénétie,45.733333333,11.85,6
AgnoloDiVentura,Toscane,43.45,11.2,7
AlbrechtDurer,Allemagne,51.0,10.0,6
AlessandroAlgardi,Émilie-Romagne,44.75,11.0,1
AlessandroBonvicino,Lombardie,45.65,9.95,1
AmbrogioLorenzetti,Toscane,43.45,11.2,7
AndreFelibien,France,47.0,2.0,2
AndreaDelSarto,Toscane,43.45,11.2,4
AndreaMantegna,Vénétie,45.733333333,11.85,2
AndreaPisano,Toscane,43.45,11.2,10
AndreaVerrocchio,Toscane,43.45,11.2,2
