xml_id,wikidata_id,ulan_id
HansVonAachen,Q152835,500127905
NicoloDellAbbate,Q333563,500011972
PierreAffre,Q3383648,500076634
Agucchi,Q3766546,500313093
Albane,Q358147,500005860
CherubinoAlberti,Q2553402,500020972
AlbertiDurante,Q1165466,500027513
Alberti,Q3064890,500110643
GiovanniAlberti,Q3106983,500003403
LeonBattistaAlberti,Q182046,500002025
MariottoAlbertinelli,Q436823,500005936
HeinrichAldegrever,Q62514,500002169
AlessandroAlgardi,Q336798,500024200
Dante,Q1067,500265888
Correge,Q8457,500006208
Ingegno,Q2846290,500017980
ChristophAmberger,Q653163,500020494
AngePolitien,Q250414,500324225
JostAmman,Q116240,500115433
BartolomeoAmmannati,Q312366,500028632
LippoAndrea,Q18627228,500082343
JacquesAndrouetDuCerceau,Q781934,500008202
FraAngelico,Q5664,500029319
JacquesAngouleme,Q19597256,500009260
EuropaAnguissola,Q1375207,500099676
LuciaAnguissola,Q465443,500031903
SofonisbaAnguissola,Q236038,500115561
MichelangeloAnselmi,Q577590,500014404
GiuseppeArchimboldo,Q7751,500028171
PietroAretino,Q296272,500290983
SpinelloAretino,Q287934,500030643
PellegrinoAretusi,Q2698667,500032007
MargaritoArezzo,Q2518566,500025562
LudovicoAriosto,Q48900,500313522
GiovanniBattistiArmenini,Q5563697,500091976
Guariento,Q1391765,500115816
TizianoAspetti,Q323978,500030358
JacopoAvanzi,Q579717,500010822
DominiqueBachelier,Q3034958,500115811
NicolasBachelier,Q713209,500003044
SistoBadalocchio,Q729057,500003253
AntonioBadile,Q941609,500001625
GiovanniBaglione,Q983332,500012161
BaccioBaldini,Q324091,500016603
AlessoBaldovinetti,Q472073,500115745
BaccioBandinelli,Q358348,500008366
GiovanniBandini,Q3766522,500013093
DanieleBarbaro,Q378870,500128024
DomenicoDelBarbiere,Q1411009,500028410
Guerchin,Q334262,500021925
DirckBarendsz,Q2183916,500008127
GiovanniBarile,Q21899339,500085906
TommasoBarlacchi,Q21555335,500043215
JacopoBarozziDaVignola,Q297565,500024808
CosimoBartoli,Q1136048,500237415
TaddeoDiBartolo,Q740231,500029513
FraBartolomeo,Q7780,500115575
DomenicoVeneziano,Q368546,500030200
MarcoBasaiti,Q918859,500081478
Bassano,Q20888877,500051853
FrancescoBassanoIlVecchio,Q3080906,500008583
FrancescoBassano,Q705079,500003680
GerolamoBassano,Q286685,500014228
GiovanniBattistaBassano,Q3107030,500025217
JacopoBassano,Q346502,500003126
LeandroBassano,Q1349666,500015945
MartinoBassi,Q3850232,500070600
JeromeBaullery,Q3190805,500027625
JohannWilhelmBaur,Q324487,500020628
Sodoma,Q8506,500015183
CharlesBeaubrun,Q5075493,500000568
HenriBeaubrun,Q21452901,500030190
LouisBeaubrun,Q57243958,500049642
DomenicoBeccafumi,Q455712,500012009
JacquesBellange,Q874658,500001347
BartolomeoBellano,Q809488,500027089
JehanBellegambe,Q932136,500023570
GentileBellini,Q290407,500026083
GiovanniBellini,Q17169,500019244
JacopoBellini,Q313310,500115627
VittoreBelliniano,Q4015179,500008895
GiovanniPietroBellori,Q714400,500016332
PietroBembo,Q334188,500314171
Bernin,Q160538,500032022
GiovanBattistaBertani,Q3766052,500005410
JacopoBertoia,Q1643157,500115600
LorenzoDiBicci,Q856749,500002727
Franciabigio,Q537712,500115536
JacquesBlanchard,Q385845,500021775
AbrahamBloemaert,Q329811,500007342
CornelisIIBloemaert,Q518767,500001977
LancelotBlondeel,Q2125116,500014638
FrancoisBlondel,Q600701,500015830
BoccaccioBoccaccino,Q721349,500012359
CamilloBoccaccino,Q1029340,500018099
FerdinandBol,Q374039,500013764
HansBol,Q999233,500032961
NicolasBollery,Q3340069,500020123
VitaleDaBologna,Q2575398,500021245
Giambologna,Q220136,500016387
SchelteBolswert,Q2288622,500005257
GiovanniAntonioBoltraffio,Q442528,500115585
GiulioBonasone,Q1527962,500004569
GianpaoloBonconti,Q99887491,500048779
FrancescoBonsignori,Q2524101,500031337
AlessandroBonvicino,Q954504,500007609
ParisBordone,Q366081,500018343
HieronimusBosch,Q130531,500000759
FrancescoBoschi,Q3080919,500008928
AndreaBoscoli,Q1056313,500023953
AbrahamBosse,Q326215,500031187
AndriesBoth,Q510472,500026342
JanBoth,Q981631,500032845
SandroBotticelli,Q5669,500015254
PierreBoucle,Q10349690,500007094
HennequinDeBruges,Q1370613,500121790
Valentin,Q1337275,500021073
SebastienBourdon,Q553795,500006900
ClaudineBouzonnetStella,Q5129302,500018274
FrancescoBrambillaIlGiovane,Q3749665,500034824
FriedrichIBrentel,Q5503769,500003074
PaulBril,Q540753,500005652
AgnoloBronzino,Q7803,500004362
SalomonDeBrosse,Q725816,500118650
AdriaenBrouwer,Q364139,500012394
LiberalBruand,Q3090458,500001472
JanBrueghel,Q209050,500007095
PieterBrueghelDeOude,Q43270,500013247
Brunelleschi,Q174330,500018169
DomenicoBrusasorzi,Q2297219,500020187
BuonamicoBuffalmacco,Q972487,500024351
GiulianoBugiardini,Q2578459,500011070
JeanBullant,Q967445,500032909
FrancoisBunel,Q5493203,500025015
JacobBunel,Q6118432,500019142
PietroBuonaccorsi,Q918778,500000030
MichelAnge,Q5592,500010654
GiovanniBuonconsiglio,Q5563793,500031591
Duccio,Q15792,500029165
Buschetto,Q97516526,500033457
AgostinoBusti,Q395600,500015698
BernardinoButinone,Q2622155,500020947
NicolasBeatrizet,Q461143,500013977
JanStevenVanCalcar,Q1397369,500026055
BenedettoCaliari,Q2054338,500000324
CarloCaliari,Q2939168,500018546
GabrieleCaliari,Q5515997,500008508
JacquesCallot,Q460124,500021688
DenysCalvaert,Q544264,500020043
LazzaroCalvi,Q3220074,500049448
AndreaCamassei,Q3615565,500022871
LucaCambiaso,Q712512,500115500
GirolamoCampagnola,Q27501610,500331864
GiulioCampagnola,Q1989594,500115435
AntonioCampi,Q601175,500031485
BernardinoCampi,Q822891,500000160
GaleazzoCampi,Q707600,500005128
GiulioCampi,Q1528003,500002728
VincenzoCampi,Q921130,500002729
PeterCandid,Q315803,500030273
LorenzoCanozi,Q3836903,500031006
FrancescoCapriani,Q748699,500018122
GiovanniJacopoCaraglio,Q705640,500025904
Caravage,Q42207,500115312
PolidoroDaCaravaggio,Q964822,500032941
GiovanFrancescoCaroto,Q966586,500010796
VittoreCarpaccio,Q5581,500015121
UgoDaCarpi,Q1967967,500013568
AgostinoCarracci,Q316269,500115349
AnnibaleCarracci,Q7824,500115350
AntonioCarracci,Q2624075,500028011
LodovicoCarracci,Q380553,500009619
JacopoDiCasentino,Q2723390,500003559
AlessandroCasolani,Q461700,500031454
AndreaDelCastagno,Q240737,500004603
BernardoCastello,Q2345205,500005056
GiovanniBattistaCastello,Q723221,500032810
BaldassareCastiglione,Q211133,500204778
GiovanniBenedettoCastiglione,Q40823,500115299
PietroCataneo,Q970999,500128514
DaneseCattaneo,Q1080223,500029294
GiovanniBattistaDeCavalieri,Q5563765,500022492
PietroCavallini,Q316009,500031569
GiacomoCavedone,Q2704031,500010514
BenvenutoCellini,Q190116,500115352
GiuseppeCesari,Q933026,500115051
CesareCesariano,Q935752,500016613
AlonsoChacon,Q661419,500315680
JeanChalette,Q3171196,500032556
JeanBaptisteDeChampaigne,Q3164509,500032942
PhilippeDeChampaigne,Q314814,500115355
NicolasChaperon,Q2476960,500121166
CimaDaConegliano,Q8453,500012627
Cimabue,Q15790,500016284
BartolomeoCincani,Q809507,500029837
ValerioDiSimoneCioli,Q2257363,500008742
Orcagna,Q366499,500119427
NiccoloCircignani,Q382762,500020906
VincenzoCiverchio,Q3559930,500030679
MatteoDiGiovanniCivitali,Q1909372,500029210
GiovanniBattistaClarici,Q24887950,500082931
JoosVanCleve,Q153472,500007799
GiulioClovio,Q281219,500022657
HieronymusCock,Q640361,500005618
BenedettoCoda,Q327706,500020768
PieterCoeckeVanAelst,Q434006,500115332
AdriaenCollaert,Q2825010,500021205
RaffaellinoDelColle,Q1323835,500021279
AntonioDaSangalloIlGiovane,Q357276,500017734
AlviseCornaro,Q389140,500086008
MichelCorneille,Q2613210,500007499
PierreCorneille,Q747,500353775
CornelisVanHaarlem,Q442484,500020887
LucasCornelisz,Q6696121,500010177
CornelisCort,Q167220,500011556
PierreDeCortone,Q333323,500115154
PieroDiCosimo,Q280851,500007508
SilvioCosini,Q3960853,500028818
LorenzoCosta,Q357807,500115131
JeanICotelle,Q51463250,500008518
JeanCousin,Q2610648,500115218
MichelICoxie,Q937645,500003940
SimoneDeiCrocifissi,Q3484633,500000136
BattistaDelMoro,Q2891762,500015168
MarcoDOggiono,Q982274,500019724
MichelinoDaBesozzo,Q2517498,500030388
LippoDalmasio,Q2009694,500003024
PellegrinoDaSanDaniele,Q732082,500007834
JeanDaret,Q3171555,500004784
PierreDaret,Q2093368,500019399
CarloDati,Q3659787,500316518
CornelisVanHeem,Q1133621,500018142
JuanDeHerreraDeMaliano,Q363914,500116393
EtienneDelaune,Q2114093,500026480
WillemJacobszDelff,Q807808,500012148
StefanoDellaBella,Q921242,500018966
MarcoDente,Q712750,500023820
ClaudeDeruet,Q355563,500005182
GirardDesargues,Q152817,500106146
Bramante,Q7793,500019098
ArnolfoDiLapo,Q315249,500020772
BenedettoDiada,Q3638104,500027147
AbrahamJanszVanDiepenbeeck,Q330854,500024425
Dominiquin,Q320118,500018832
Donatello,Q37562,500026022
Mastelletta,Q547109,500024427
CharlesDorigny,Q2958932,500048321
MichelDorigny,Q3309511,500032412
BattistaDossi,Q2706669,500020071
DossoDossi,Q356777,500114963
GerritDou,Q335927,500115513
FrancoisDuQuesnoy,Q960381,500115495
AmbroiseDubois,Q2415583,500004063
ToussaintDubreuil,Q386127,500009728
JacquesDubroeucq,Q3087528,500006447
NicolasDuchesne,Q97696303,500317044
GaspardDughet,Q741375,500115515
KarelDujardin,Q719666,500000918
GuillaumeDumee,Q16640510,500012724
EtienneDuperac,Q289626,500000071
AntoineDurand,Q105112330,500024231
VanDyck,Q150679,500115190
AlbrechtDurer,Q5580,500115493
AlbrechtDurerElder,Q535910,500102378
JustusVanEgmont,Q1034140,500008490
FerdinandElle,Q3068556,500028971
AdamElsheimer,Q310285,500115443
MarioEquicola,Q3848545,500317328
CharlesErrard,Q706960,500031765
JeanErrard,Q1387082,500098043
