oeuvre,compte
RaphaelEcoleAthenes,16
ChapelleSixtine,12
CarracheCrisBologne,12
RaphaelLogesVatican,8
StanzeVatican,6
ColonneTrajane,6
VillaFarnesineRome,6
RaphaelTransfiguration,6
RaphaelChambreSignature,5
CarracheGalerieFarnese,5
SalleConstantinVatican,5
PalaisFarneseRome,5
RubensCycleMedicisLuxembourg,4
ColonneMarcAureleRome,4
RaphaelSibyllesProphetesChigi,4
SainteMariePaixRome,4
RaimondiMassacreInnocents,4
LeonardCeneMilan,4
RaphaelSignaturePoesie,3
MichelAngeJugementSixtine,3
LeonardAnghiari,3
RaphaelVertusVatican,3
RaphaelIsaie,3
RaphaelLeonX,3
RaimondiLucrece,3
