xml_id,birth_place,region1,region2,region,country,country_qid,region_qid
HansVonAachen,Cologne,district de Cologne,Rhénanie-du-Nord-Westphalie,Allemagne,Allemagne,Q183,Q183
NicoloDellAbbate,Modène,Modène,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
PierreAffre,Béziers,Hérault,Occitanie,France,France,Q142,Q142
Agucchi,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
Albane,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
CherubinoAlberti,Sansepolcro,Arezzo,Toscane,Toscane,Italie,Q38,Q1273
AlbertiDurante,Sansepolcro,Arezzo,Toscane,Toscane,Italie,Q38,Q1273
GiovanniAlberti,Sansepolcro,Arezzo,Toscane,Toscane,Italie,Q38,Q1273
LeonBattistaAlberti,Gênes,ville métropolitaine de Gênes,Ligurie,Ligurie,Italie,Q38,Q1256
MariottoAlbertinelli,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
HeinrichAldegrever,Paderborn,arrondissement de Paderborn,Detmold,Allemagne,Allemagne,Q183,Q183
AlessandroAlgardi,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
Dante,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
Correge,Correggio,province de Reggio d'Émilie,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
Ingegno,Assise,province de Pérouse,Ombrie,Ombrie,Italie,Q38,Q1280
ChristophAmberger,Kaufbeuren,Souabe,Bavière,Allemagne,Allemagne,Q183,Q183
AngePolitien,Montepulciano,Sienne,Toscane,Toscane,Italie,Q38,Q1273
JostAmman,Zurich,district de Zurich,canton de Zurich,Suisse,Suisse,Q39,Q39
BartolomeoAmmannati,Settignano,Florence,ville métropolitaine de Florence,Toscane,Italie,Q38,Q1273
LippoAndrea,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
JacquesAndrouetDuCerceau,Paris,Métropole du Grand Paris,Île-de-France,France,France,Q142,Q142
FraAngelico,Vicchio,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
EuropaAnguissola,Crémone,Crémone,Lombardie,Lombardie,Italie,Q38,Q1210
LuciaAnguissola,Crémone,Crémone,Lombardie,Lombardie,Italie,Q38,Q1210
SofonisbaAnguissola,Crémone,Crémone,Lombardie,Lombardie,Italie,Q38,Q1210
MichelangeloAnselmi,Lucques,Lucques,Toscane,Toscane,Italie,Q38,Q1273
GiuseppeArchimboldo,Milan,ville métropolitaine de Milan,Lombardie,Lombardie,Italie,Q38,Q1210
PietroAretino,Arezzo,Arezzo,Toscane,Toscane,Italie,Q38,Q1273
SpinelloAretino,Arezzo,Arezzo,Toscane,Toscane,Italie,Q38,Q1273
PellegrinoAretusi,Modène,Modène,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
MargaritoArezzo,Arezzo,Arezzo,Toscane,Toscane,Italie,Q38,Q1273
LudovicoAriosto,Reggio d'Émilie,province de Reggio d'Émilie,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
GiovanniBattistiArmenini,Faenza,Ravenne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
Guariento,Piove di Sacco,Province de Padoue,Vénétie,Vénétie,Italie,Q38,Q1243
TizianoAspetti,Padoue,Province de Padoue,Vénétie,Vénétie,Italie,Q38,Q1243
JacopoAvanzi,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
NicolasBachelier,Arras,Pas-de-Calais,Hauts-de-France,France,France,Q142,Q142
SistoBadalocchio,Parme,Parme,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
AntonioBadile,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,Q1243
GiovanniBaglione,Rome,ville métropolitaine de Rome Capitale,Latium,Latium,Italie,Q38,Q1282
BaccioBaldini,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
AlessoBaldovinetti,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
BaccioBandinelli,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
GiovanniBandini,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
DanieleBarbaro,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243
DomenicoDelBarbiere,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
Guerchin,Cento,Ferrare,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
DirckBarendsz,Amsterdam,Amsterdam,Hollande-Septentrionale,Pays-Bas,Pays-Bas,Q55,Q55
JacopoBarozziDaVignola,Vignola,Modène,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
CosimoBartoli,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
TaddeoDiBartolo,Sienne,Sienne,Toscane,Toscane,Italie,Q38,Q1273
FraBartolomeo,Prato,Prato,Toscane,Toscane,Italie,Q38,Q1273
DomenicoVeneziano,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243
MarcoBasaiti,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243
FrancescoBassano,Bassano del Grappa,Vicence,Vénétie,Vénétie,Italie,Q38,Q1243
GerolamoBassano,Bassano del Grappa,Vicence,Vénétie,Vénétie,Italie,Q38,Q1243
GiovanniBattistaBassano,Bassano del Grappa,Vicence,Vénétie,Vénétie,Italie,Q38,Q1243
JacopoBassano,Bassano del Grappa,Vicence,Vénétie,Vénétie,Italie,Q38,Q1243
LeandroBassano,Bassano del Grappa,Vicence,Vénétie,Vénétie,Italie,Q38,Q1243
MartinoBassi,Seregno,Monza et Brianza,Lombardie,Lombardie,Italie,Q38,Q1210
JeromeBaullery,Paris,Métropole du Grand Paris,Île-de-France,France,France,Q142,Q142
JohannWilhelmBaur,Strasbourg,Bas-Rhin,République française,France,France,Q142,Q142
CharlesBeaubrun,Amboise,Indre-et-Loire,Centre-Val de Loire,France,France,Q142,Q142
HenriBeaubrun,Amboise,Indre-et-Loire,Centre-Val de Loire,France,France,Q142,Q142
LouisBeaubrun,Amboise,Indre-et-Loire,Centre-Val de Loire,France,France,Q142,Q142
DomenicoBeccafumi,Castelnuovo Berardenga,Sienne,Toscane,Toscane,Italie,Q38,Q1273
JacquesBellange,Bassigny,Haute-Marne,Grand Est,France,France,Q142,Q142
JehanBellegambe,Douai,arrondissement de Douai,Nord,France,France,Q142,Q142
GiovanniBellini,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243
JacopoBellini,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243
