xml_id,birth_place,region1,region2,region,country,country_qid,region_qid,latitude,longitude
HansVonAachen,Cologne,district de Cologne,Rhénanie-du-Nord-Westphalie,Allemagne,Allemagne,Q183,Q183,51.0,10.0
NicoloDellAbbate,Modène,Modène,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
PierreAffre,Béziers,Hérault,Occitanie,France,France,Q142,Q142,47.0,2.0
Agucchi,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
Albane,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
CherubinoAlberti,Sansepolcro,Arezzo,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
AlbertiDurante,Sansepolcro,Arezzo,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
GiovanniAlberti,Sansepolcro,Arezzo,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
LeonBattistaAlberti,Gênes,ville métropolitaine de Gênes,Ligurie,Ligurie,Italie,Q38,Q1256,44.45,8.766666666
MariottoAlbertinelli,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
HeinrichAldegrever,Paderborn,arrondissement de Paderborn,Detmold,Allemagne,Allemagne,Q183,Q183,51.0,10.0
AlessandroAlgardi,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
Dante,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
Correge,Correggio,province de Reggio d'Émilie,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
Ingegno,Assise,province de Pérouse,Ombrie,Ombrie,Italie,Q38,Q1280,42.983333333,12.566666666
ChristophAmberger,Kaufbeuren,Souabe,Bavière,Allemagne,Allemagne,Q183,Q183,51.0,10.0
AngePolitien,Montepulciano,Sienne,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
JostAmman,Zurich,district de Zurich,canton de Zurich,Suisse,Suisse,Q39,Q39,46.798562,8.231973
BartolomeoAmmannati,Settignano,Florence,ville métropolitaine de Florence,Toscane,Italie,Q38,Q1273,43.45,11.2
LippoAndrea,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
JacquesAndrouetDuCerceau,Paris,Métropole du Grand Paris,Île-de-France,France,France,Q142,Q142,47.0,2.0
FraAngelico,Vicchio,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
EuropaAnguissola,Crémone,Crémone,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
LuciaAnguissola,Crémone,Crémone,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
SofonisbaAnguissola,Crémone,Crémone,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
MichelangeloAnselmi,Lucques,Lucques,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
GiuseppeArchimboldo,Milan,ville métropolitaine de Milan,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
PietroAretino,Arezzo,Arezzo,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
SpinelloAretino,Arezzo,Arezzo,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
PellegrinoAretusi,Modène,Modène,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
MargaritoArezzo,Arezzo,Arezzo,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
LudovicoAriosto,Reggio d'Émilie,province de Reggio d'Émilie,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
GiovanniBattistiArmenini,Faenza,Ravenne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
Guariento,Piove di Sacco,Province de Padoue,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
TizianoAspetti,Padoue,Province de Padoue,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
JacopoAvanzi,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
NicolasBachelier,Arras,Pas-de-Calais,Hauts-de-France,France,France,Q142,Q142,47.0,2.0
SistoBadalocchio,Parme,Parme,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
AntonioBadile,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
GiovanniBaglione,Rome,ville métropolitaine de Rome Capitale,Latium,Latium,Italie,Q38,Q1282,41.9,12.716666666
BaccioBaldini,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
AlessoBaldovinetti,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
BaccioBandinelli,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
GiovanniBandini,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
DanieleBarbaro,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
DomenicoDelBarbiere,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
Guerchin,Cento,Ferrare,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
DirckBarendsz,Amsterdam,Amsterdam,Hollande-Septentrionale,Pays-Bas,Pays-Bas,Q55,Q55,52.316666666,5.55
JacopoBarozziDaVignola,Vignola,Modène,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
CosimoBartoli,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
TaddeoDiBartolo,Sienne,Sienne,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
FraBartolomeo,Prato,Prato,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
DomenicoVeneziano,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
MarcoBasaiti,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
FrancescoBassano,Bassano del Grappa,Vicence,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
GerolamoBassano,Bassano del Grappa,Vicence,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
GiovanniBattistaBassano,Bassano del Grappa,Vicence,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
JacopoBassano,Bassano del Grappa,Vicence,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
LeandroBassano,Bassano del Grappa,Vicence,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
MartinoBassi,Seregno,Monza et Brianza,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
JeromeBaullery,Paris,Métropole du Grand Paris,Île-de-France,France,France,Q142,Q142,47.0,2.0
JohannWilhelmBaur,Strasbourg,Bas-Rhin,République française,France,France,Q142,Q142,47.0,2.0
CharlesBeaubrun,Amboise,Indre-et-Loire,Centre-Val de Loire,France,France,Q142,Q142,47.0,2.0
HenriBeaubrun,Amboise,Indre-et-Loire,Centre-Val de Loire,France,France,Q142,Q142,47.0,2.0
LouisBeaubrun,Amboise,Indre-et-Loire,Centre-Val de Loire,France,France,Q142,Q142,47.0,2.0
DomenicoBeccafumi,Castelnuovo Berardenga,Sienne,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
JacquesBellange,Bassigny,Haute-Marne,Grand Est,France,France,Q142,Q142,47.0,2.0
JehanBellegambe,Douai,arrondissement de Douai,Nord,France,France,Q142,Q142,47.0,2.0
GiovanniBellini,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
JacopoBellini,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
