xml_id,birth_place,region1,region2,region,country,country_qid,region_qid
HansVonAachen,Cologne,district de Cologne,Rhénanie-du-Nord-Westphalie,Allemagne,Allemagne,Q183,Q183
NicoloDellAbbate,Modène,Modène,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
PierreAffre,Béziers,Hérault,Occitanie,France,France,Q142,Q142
Agucchi,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
Albane,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
CherubinoAlberti,Sansepolcro,Arezzo,Toscane,Toscane,Italie,Q38,
AlbertiDurante,Sansepolcro,Arezzo,Toscane,Toscane,Italie,Q38,
Alberti,,,,,,,
GiovanniAlberti,Sansepolcro,Arezzo,Toscane,Toscane,Italie,Q38,
LeonBattistaAlberti,Gênes,ville métropolitaine de Gênes,Ligurie,Ligurie,Italie,Q38,
MariottoAlbertinelli,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
HeinrichAldegrever,Paderborn,arrondissement de Paderborn,Detmold,Allemagne,Allemagne,Q183,Q183
AlessandroAlgardi,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
Dante,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
Correge,Correggio,province de Reggio d'Émilie,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
Ingegno,Assise,province de Pérouse,Ombrie,Ombrie,Italie,Q38,
ChristophAmberger,Kaufbeuren,Souabe,Bavière,Allemagne,Allemagne,Q183,Q183
AngePolitien,Montepulciano,Sienne,Toscane,Toscane,Italie,Q38,
JostAmman,Zurich,district de Zurich,canton de Zurich,Suisse,Suisse,Q39,Q39
BartolomeoAmmannati,Settignano,Florence,ville métropolitaine de Florence,Toscane,Italie,Q38,
LippoAndrea,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
JacquesAndrouetDuCerceau,Paris,Métropole du Grand Paris,Île-de-France,France,France,Q142,Q142
FraAngelico,Vicchio,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
JacquesAngouleme,,,,,,,
EuropaAnguissola,Crémone,Crémone,Lombardie,Lombardie,Italie,Q38,
LuciaAnguissola,Crémone,Crémone,Lombardie,Lombardie,Italie,Q38,
SofonisbaAnguissola,Crémone,Crémone,Lombardie,Lombardie,Italie,Q38,
MichelangeloAnselmi,Lucques,Lucques,Toscane,Toscane,Italie,Q38,
GiuseppeArchimboldo,Milan,ville métropolitaine de Milan,Lombardie,Lombardie,Italie,Q38,
PietroAretino,Arezzo,Arezzo,Toscane,Toscane,Italie,Q38,
SpinelloAretino,Arezzo,Arezzo,Toscane,Toscane,Italie,Q38,
PellegrinoAretusi,Modène,Modène,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
MargaritoArezzo,Arezzo,Arezzo,Toscane,Toscane,Italie,Q38,
LudovicoAriosto,Reggio d'Émilie,province de Reggio d'Émilie,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
GiovanniBattistiArmenini,Faenza,Ravenne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
Guariento,Piove di Sacco,Province de Padoue,Vénétie,Vénétie,Italie,Q38,
TizianoAspetti,Padoue,Province de Padoue,Vénétie,Vénétie,Italie,Q38,
JacopoAvanzi,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
DominiqueBachelier,,,,,,,
NicolasBachelier,Arras,Pas-de-Calais,Hauts-de-France,France,France,Q142,Q142
SistoBadalocchio,Parme,Parme,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
AntonioBadile,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,
GiovanniBaglione,Rome,ville métropolitaine de Rome Capitale,Latium,Latium,Italie,Q38,
BaccioBaldini,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
AlessoBaldovinetti,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
BaccioBandinelli,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
GiovanniBandini,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
DanieleBarbaro,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,
DomenicoDelBarbiere,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
Guerchin,Cento,Ferrare,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
DirckBarendsz,Amsterdam,Amsterdam,Hollande-Septentrionale,Pays-Bas,Pays-Bas,Q55,Q55
GiovanniBarile,,,,,,,
TommasoBarlacchi,,,,,,,
JacopoBarozziDaVignola,Vignola,Modène,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
CosimoBartoli,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
TaddeoDiBartolo,Sienne,Sienne,Toscane,Toscane,Italie,Q38,
FraBartolomeo,Prato,Prato,Toscane,Toscane,Italie,Q38,
DomenicoVeneziano,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,
MarcoBasaiti,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,
Bassano,,,,,,,
FrancescoBassanoIlVecchio,,,,,,,
FrancescoBassano,Bassano del Grappa,Vicence,Vénétie,Vénétie,Italie,Q38,
GerolamoBassano,Bassano del Grappa,Vicence,Vénétie,Vénétie,Italie,Q38,
GiovanniBattistaBassano,Bassano del Grappa,Vicence,Vénétie,Vénétie,Italie,Q38,
JacopoBassano,Bassano del Grappa,Vicence,Vénétie,Vénétie,Italie,Q38,
LeandroBassano,Bassano del Grappa,Vicence,Vénétie,Vénétie,Italie,Q38,
MartinoBassi,Seregno,Monza et Brianza,Lombardie,Lombardie,Italie,Q38,
JeromeBaullery,Paris,Métropole du Grand Paris,Île-de-France,France,France,Q142,Q142
JohannWilhelmBaur,Strasbourg,Bas-Rhin,République française,France,France,Q142,Q142
Sodoma,,,,,,,
CharlesBeaubrun,Amboise,Indre-et-Loire,Centre-Val de Loire,France,France,Q142,Q142
HenriBeaubrun,Amboise,Indre-et-Loire,Centre-Val de Loire,France,France,Q142,Q142
LouisBeaubrun,Amboise,Indre-et-Loire,Centre-Val de Loire,France,France,Q142,Q142
DomenicoBeccafumi,Castelnuovo Berardenga,Sienne,Toscane,Toscane,Italie,Q38,
JacquesBellange,Bassigny,Haute-Marne,Grand Est,France,France,Q142,Q142
BartolomeoBellano,,,,,,,
JehanBellegambe,Douai,arrondissement de Douai,Nord,France,France,Q142,Q142
GentileBellini,,,,,,,
GiovanniBellini,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,
JacopoBellini,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,
VittoreBelliniano,,,,,,,
GiovanniPietroBellori,Rome,ville métropolitaine de Rome Capitale,Latium,Latium,Italie,Q38,
PietroBembo,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,
