region,latitude,longitude,count
Allemagne,51.0,10.0,627
Belgique,50.641111111,4.668055555,311
Campanie,40.910555555,14.920555555,49
Croatie,45.25,15.466667,4
Espagne,40.2,-3.5,8
France,47.0,2.0,1021
Frioul-Vénétie Julienne,46.1,13.116666666,79
Hongrie,47.0,19.0,14
Latium,41.9,12.716666666,421
Ligurie,44.45,8.766666666,130
Lombardie,45.65,9.95,1091
Marches,43.316666666,13.0,2786
Ombrie,42.983333333,12.566666666,248
Pays-Bas,52.316666666,5.55,193
Piémont,45.25,7.916666666,76
Pouilles,41.008611111,16.512777777,7
Sicile,37.599958333,14.015377777,28
Suisse,46.798562,8.231973,46
Toscane,43.45,11.2,8932
Trentin-Haut-Adige,46.383333333,11.416666666,7
Vénétie,45.733333333,11.85,1813
Émilie-Romagne,44.75,11.0,2086
