texte,langue
Agucchi_TrattatoPittura.xml,ita
Alberti_DellaPittura.xml,ita
Armenini_PrecettiDellaPitturaATIR.xml,ita
Baglione_ViteATIR.xml,ita
Baldinucci_Notizie.xml,ita
Baldinucci_Vocabolario.xml,ita
Bartoli_RagionamentiAccademiciATIR.xml,ita
Bellori_DescrizzioneImagiDipinteRafelloATIR.xml,ita
Bellori_ViteATIR.xml,ita
Borghini_RiposoATIR.xml,ita
Celio_Memoria.xml,ita
Cellini_VitaBenvenutoCelliniATIR.xml,ita
Condivi_VitaMichelangeloATIR.xml,ita
Daret_VieRaphael.xml,fra
Dolce_DialogoDellaPitturaIntitolatoAretinoMemofonte.xml,ita
Doni_DisegnoATIR.xml,ita
DupuyDuGrez_TraitePeinture.xml,fra
Felibien_Entretiens1.xml,fra
Felibien_Entretiens2.xml,fra
Felibien_Entretiens3.xml,fra
Felibien_Entretiens4.xml,fra
Felibien_Entretiens5.xml,fra
Freart_IdeaDellaPerfezione.xml,ita
Frey_CodiceMagliabechianoATIR.xml,ita
Frey_LibroAntonioBilliATIR.xml,ita
Lomazzo_Idea.xml,ita
Lomazzo_TraicteProportion.xml,fra
Lomazzo_TrattatoATIR.xml,ita
Marino_DicerieSacre.xml,ita
Monier_HistoireArtsRapportDessein.xml,fra
Morelli_NotiziaOpereDisegno.xml,ita
Ottonelli_TrattatoDellaPittura.xml,ita
Pader_LaPeintureParlante.xml,fra
Pader_SongeEnigmatique.xml,fra
Passeri_ViteATIR.xml,ita
Piles_AbregeViePeintres.xml,fra
Piles_ConversationsConnaissancePeinture.xml,fra
Piles_CoursPeinture.xml,fra
Piles_DialogueColoris.xml,fra
Pino_DialogoPitturaATIR.xml,ita
Varchi_LezzioniMemofonte.xml,ita
Vasari_Vite1551Memofonte.xml,ita
Vasari_Vite1568Memofonte.xml,ita
Vinci_TraitePeinture_fra.xml,fra
Vinci_TrattatoPittura_ITA.xml,ita
Zuccari_IdeaPittori.xml,ita
Zuccari_Lettera.xml,ita
Zuccari_OrigineProgressoAcademiaDissegno.xml,ita
