xml:id,name_fr,name_it,continent,country,geo,wikidata
Calidonia,,,,,,
Adee,,,,,,
Cotton,,,,,,
Afrique,Afrique,Africa,,,21.09375 7.1881,Q15
Amerique,Amérique,America,,,19 -96,Q828
Asie,Asie,Asia,,,43.681111111111115 87.33111111111111,Q48
Catalogne,Catalogne (région culturelle),,,,,Q113834065
Barbarie,Côte des Barbaresques,Stati barbareschi,,,,Q501768
Europe,Europe,Europa,,,48.690959 9.14062,Q46
Ogygie,Ogygie,Ogigia,,,,Q1232442
AixLaChapelle,Aix-la-Chapelle,Aquisgrana,,Allemagne,50.776207 6.083788,Q1017
Augsbourg,Augsbourg,Augusta,,Allemagne,48.36888888888889 10.897777777777778,Q2749
Cologne,Cologne,Colonia,,Allemagne,50.942222222222 6.9577777777778,Q365
Heidelberg,Heidelberg,Heidelberg,,Allemagne,49.412222222222 8.71,Q2966
Ingolstadt,Ingolstadt,Ingolstadt,,Allemagne,48.76305555555555 11.425,Q3004
Kalkar,Kalkar,Kalkar,,Allemagne,51.738888888889 6.2925,Q243554
Mainz,Mayence,Magonza,,Allemagne,49.99944444444444 8.27361111111111,Q1720
Nuremberg,Nuremberg,Norimberga,,Allemagne,49.45388888888889 11.0775,Q2090
Wurtzbourg,Wurtzbourg,Würzburg,,Allemagne,49.794444444444 9.9294444444444,Q2999
Artaxata,Artaxata,Artaxata,,Arménie,39.886613 44.57943,Q706215
Xipete,Xypétè,Xipete,,Athènes,37.957553 23.685482,Q13424319
Alost,Alost,Aalst,,Belgique,50.93833333333333 4.039166666666667,Q13121
Anvers,Anvers,Anversa,,Belgique,51.221111111111114 4.3997222222222225,Q12892
Oudenaarde,Audenarde,Oudenaarde,,Belgique,50.85 3.6,Q12992
Avennes,Avennes,,,Belgique,50.6292 5.1147,Q2660309
Barbencon,Barbençon,,,Belgique,50.2206905 4.2859259,Q2257276
Bruges,Bruges,Bruges,,Belgique,51.208888888888886 3.2241666666666666,Q12994
Courtrai,Courtrai,Courtrai,,Belgique,50.8275 3.265833333333333,Q12995
Dinant,Dinant,Dinant,,Belgique,50.256388888889 4.9136111111111,Q108247
Liege,Liège,Liegi,,Belgique,50.639722222222225 5.570555555555556,Q3992
Louvain,Louvain,Lovanio,,Belgique,50.8775 4.704444,Q118958
Malines,Malines,Malines,,Belgique,51.028055555555554 4.480277777777777,Q162022
Maaseik,Maseyk,Maaseik,,Belgique,51.101944444444 5.7855555555556,Q110989
Meulebeke,Meulebeke,Meulebeke,,Belgique,50.9497 3.2869,Q822783
Mons,Mons,Mons,,Belgique,50.45472222222222 3.9525,Q83407
Namur,Namur,Namur,,Belgique,50.466666666667 4.8666666666667,Q134121
Rance,Rance,,,Belgique,50.1430111 4.2731851,Q2094603
Martaban,Martaban,Mottama,,Birmanie,16.53 97.60222222222222,Q1950091
Pegou,Pégou,Pegu,,Birmanie,17.343333333333 96.498055555556,Q800122
Pula,Pula,Pola,,Croatie,44.87027777777778 13.845555555555556,Q4656
Copenhague,Copenhague,Copenaghen,,Danemark,55.676111111111 12.568888888889,Q1748
Alsace,Alsace,Alsazia,,France,48.5 7.5,Q1142
Amiens,Amiens,Amiens,,France,49.891944444444 2.2977777777778,Q41604
Anet,Anet,Anet,,France,48.855 1.4394444444444,Q529402
Angers,Angers,Angers,,France,47.472777777778 -0.55555555555556,Q38380
test,Angoulême,Angoulême,,France,45.649444444444 0.15944444444444,Q134346
Arcueil,Arcueil,Arcueil,,France,48.806666666667 2.3352777777778,Q467132
Arles,Arles,Arles,,France,43.676944444444 4.6286111111111,Q48292
Arras,Arras,Arras,,France,50.289166666667 2.78,Q131329
Autun,Autun,Autun,,France,46.951111111111 4.2986111111111,Q190827
Auvergne,Auvergne,Alvernia,,France,45.7 3.3,Q1152
Avignon,Avignon,Avignone,,France,43.948611111111 4.8083333333333,Q6397
Barbazan,Barbazan,Barbazan,,France,43.032222222222 0.62305555555556,Q632072
Belleville,Belleville,Belleville,,France,48.873888888889 2.3852777777778,Q815949
Belvedere,Belvédère,Belvedere,,France,44.014722222222 7.3211111111111,Q742848
BercheresLesPierres,Berchères-les-Pierres,Berchères-les-Pierres,,France,48.385 1.5536111111111,Q1075225
Blois,Blois,Blois,,France,47.593055555556 1.3272222222222,Q160927
Bordeaux,Bordeaux,Bordeaux,,France,44.837777777778 -0.57944444444444,Q1479
Bourgogne,Bourgogne,Borgogna,,France,47 4.5,Q1173
Beziers,Béziers,Béziers,,France,43.343333333333 3.2161111111111,Q174019
Caen,Caen,Caen,,France,49.18138888888889 -0.3636111111111111,Q41185
Campan,Campan,Campan,,France,43.016944444444 0.1775,Q835569
Chambray,Chambray,Chambray,,France,49.075 1.3058333333333,Q1077048
Champagne,Champagne,Champagne,,France,49 4,Q273827
CharentonLePont,Charenton-le-Pont,Charenton-le-Pont,,France,48.821388888889 2.4119444444444,Q212793
Chartres,Chartres,Chartres,,France,48.446666666667 1.4883333333333,Q130272
Chateaudun,Châteaudun,Châteaudun,,France,48.070833333333 1.3377777777778,Q181886
ConchesEnOuche,Conches-en-Ouche,Conches-en-Ouche,,France,48.960555555556 0.9425,Q326369
Fayence,Fayence,Fayence,,France,43.623333333333 6.6938888888889,Q687823
Fontainebleau,Fontainebleau,Fontainebleau,,France,48.408888888889 2.7016666666667,Q182872
FrancheComte,Franche-Comté,Franca Contea,,France,47 6,Q16394
Gouvieux,Gouvieux,Gouvieux,,France,49.187777777778 2.4161111111111,Q752088
IvrySurSeine,Ivry-sur-Seine,Ivry-sur-Seine,,France,48.813888888889 2.3877777777778,Q193877
Lallaing,Lallaing,Lallaing,,France,50.39 3.1680555555556,Q1099211
Languedoc,Languedoc,Linguadoca,,France,43.666666666667 3.1666666666667,Q206221
LeMans,Le Mans,Le Mans,,France,48.004166666667 0.19694444444444,Q1476
Andelys,Les Andelys,Les Andelys,,France,49.245555555556 1.4116666666667,Q209770
