xml:id,forename,surname,addName,role,trait_texts,birth_date,birth_place,death_date,death_place,nationality,works,ulan,bnf,viaf,isni,vat,wikidata
HansVonAachen,Hans von,Aachen,Jean Dac; JEAN DAC,peintre allemand (1552–1615),,1552-01-01,Köln,1615-03-04,Praha,Saint-Empire romain germanique,,500127905,12564530t,41957298,0000000066298373,495/376415,Q152835
Aaron,Aaron,Aaron,Aaron; Aronne,"personnage de la Bible, dans les livres de l'Exode, du Lévitique et des Nombres","cohen, prophète ou prophétesse",1396,Égypte antique,1274,djebel Haroun,,,,,86951058,,495/294384,Q51676
NicoloDellAbbate,Nicola dell',Abbate,Messer Nicolo; Nicolas de Modene; Nicolo de Modene; Abbate,peintre italien,"Niccolò was both a pupil of and assistant to his father, Giovanni dell'Abbate, and was later tutored by the sculptor Antonio Begarelli.
            Comment on works: Landscapes; Architecture; Ruins; Genre | Nicolo de Modene chez Monier Messer Niccolino",1512-01-01,Modena,1571-01-01,Fontainebleau,France,,500011972,12269719j,88804962,0000000418393631,495/11482,Q333563
Abel,Abel,Abel,Abel,personnage de la Genèse,berger ou bergère,3897,N/A,3825,N/A,,,,,38274249,0000000108143186,495/78243,Q313421
AbgarV,Abgar,Abgar V,Abgar d'Édesse; Abagare,roi d'Osroène,"dirigeant ou dirigeante, monarque",0001-01-01,N/A,0050-01-01,N/A,Osroène,,,13320151p,45659357,0000000106770397,,Q320168
Abiron,Abiram,Abiron,Abiram; Abiron,premier-né de Hiel de Béthel,N/A,,N/A,,N/A,,,,,,,,Q114008399
Abraham,Abraham,Abraham,Abraham,"patriarche et prophète des religions juive, chrétienne et musulmane","gardien de troupeau, fondateur d'une religion, prophète ou prophétesse",1813,Ur Kaśdim,1638,Hébron,,,,165820767,89660956,0000000096500173,495/47226,Q9181
JudaAbravanel,Juda,Abravanel,Léon l'Hébreux; Leone Ebreo,n/a,"philosophe, poète ou poétesse, médecin, écrivain ou écrivaine, rabbin, humaniste | Philosophe, médecin et poète portugais. Aussi connu sous le nom de Léon l'Hébreux.",1460-01-01,Lisbonne,1530-01-01,Naples,royaume de Portugal,,,124621949,100176804,0000000121450949,495/361662,Q467062
DonatoAcciaiuoli,Donato,Acciaioli,Donato Acciaioli,italian scholar and statesman,connu aussi sous le nom de Donato Acciaioli,1429,Firenze,1478,Milano,,,,,,,,
PietroAccolti,Pietro,Accolti,Pietro Accolti; Piettro Accolti; Pietro Acolti,cardinal de l'Église catholique romaine,prêtre catholique,1455-03-15,Florence,1532-12-11,Rome,,,,162959377,316737571,0000000450967359,,Q1337909
Achab,Achab,Achab,Achab; Acab,roi d'Israël,dirigeant ou dirigeante,0918,N/A,0852-01-01,Ramoth en Galaad,royaume d'Israël,,,,31862253,000000005121726X,,Q235901
Achille,Achille,Achille,Achille; Achilles,personnage de la mythologie grecque,N/A,,N/A,,Troie,,,,,57405744,,,Q41746
Achemenide,Achéménide,Achéménide,Achéménide; Achemenide,personnage de la mythologie grecque,N/A,,N/A,,N/A,,,,,,,,Q930198
Adam,,Adam,Adam; Adamo,premier humain selon le récit des religions abrahamiques,"agriculteur ou agricultrice, chasseur ou chasseresse, jardinier, prophète de l'islam, N/A",,Éden,3074-00-00,N/A,Terre,,500114345,17011701v,308180317,000000048332777X,495/72493,Q70899
Adiafare,,Adiafare,Adiafare,,Divinité mentionnée par Lomazzo (Idea),,,,,,,,,,,,
Adonis,Adonis,Adonis,Adonis; Adone,"dieu de la mythologie proche-orientale, grecque et romaine, fils de Cinyras et de sa fille Myrrha",N/A,,N/A,,N/A,,,,,308240680,,,Q163920
Adramalech,Adramelech,Adramalech,Adramelech,"Démon, Grand chancelier des Enfers",N/A | dieu (assyrien ?) mentionné par Lomazzo,,N/A,,N/A,,,,,,,,Q366515
AdrienVI,Adrien,Adrien VI,Adrien VI; Adrien sixiéme,"218e pape de l'Église catholique, de 1522 à 1523","théologien ou théologienne, professeur ou professeure d'université, prêtre catholique, philosophe, évêque catholique | Pape de 1522 à 1523",1459-03-02,Utrecht,1523-09-14,Rome,Saint-Empire romain germanique,,500654335,12552035g,76430137,000000011029782X,495/21724,Q57087
PierreAffre,Pierre,Affre,Mr. Affre,sculpteur français,N/A,1590-01-01,Béziers,1669-01-01,Toulouse,France,,500076634,,96224420,,,Q3383648
Agamemnon,Agamemnon,Agamemnon,Agamemnon; Agamémnon,personnage de la mythologie grecque,N/A,,N/A,,N/A,,,,135468180,306386859,,,Q128176
Agar,Agar,Agar,Agar; AGAR,"servante de Sarah, la femme d'Abraham dans l'Ancien Testament",domestique,2000,Égypte antique,2000,N/A,Égypte antique,,,,16377729,,,Q214617
Agatarque,,Agatarque,Agatharque; Agatarque,,,,,,,,,,,,,,
Agesilaos,Agésilaos,,Agesilao,,éphore (magistrat à Sparte) et oncle du roi de Sparte Agis IV,,,,,,,,,,,,
Aglaophon,Aglaophon,Aglaophon,Aglaophon; Aglaofonte; Aglaofante,n/a,artiste peintre,0600-01-01,N/A,0500-01-01,N/A,,,500080944,,96260254,,,Q1454839
Aglaure,,Aglaure,Aglaure,,,,,,,,,,,,,,
Agoracritos,Agoracritos,Agoracritos,Agoracritos,sculpteur grec,sculpteur ou sculptrice,0500-01-01,Páros,0500-01-01,N/A,,,500062159,,64800821,000000001045690X,,Q395404
LeonardoAgostini,Leonardo,Agostini,Leonardo Agostini,"antiquaire et graveur, fut nommé inspecteur des antiquités par Alexandre VII","antiquaire, numismate, chercheur de gemme gravées, historien ou historienne, marchand",1593-09-18,Boccheggiano,1676-08,Rome,,,,12545331f,14884893,0000000061308712,495/21444,Q1054161
AgrippaIer,Agrippa,Agrippa Ier,Agrippa Ier; Herodes; Agrippe,roi de Judée,Roi des Juifs | Parfois appelé Hérode Agrippa,0010-01-01,N/A,0044,Césarée,,,,123150680,88671814,0000000089598010,495/104691,Q298636
Agucchi,Giovanni Battista,Agucchi,Gratiadio Machati; Monsignor Agucqui; Agucchi,"archevêque, collectionneur et théoricien de l'art italien",aussi connu sous le pseudonyme Gratiadio Machati,1570-11-20,Bologne,1632-01-01,N/A,,,500313093,,20618648,000000006127302X,495/16650,Q3766546
Agenor,Agénor,Agénor,Agénor; Agenor,"personnage de la mythologie grecque, fils de Poséidon",roi | Fils de Poséidon,,N/A,,N/A,,,,,,,,Q392631
Agesandros,Agésandros,Agésandros,Agésandros; Agessander; Agesandre,sculpteur grec,sculpteur ou sculptrice,0050,Rhodes,0100,N/A,Rhodes,,500021781,,35898854,0000000024778942,,Q983432
AhmosisII,Amasis,Ahmôsis II,Amasis,5e pharaon égyptien de la XXVIème dynastie,homme d'État,0610,N/A,0526-01-01,N/A,Égypte antique,,,,61941083,,,Q312045
Aistolf,Aistolf,Aistolf,Aistolf; Astolfe,roi des Lombards,roi | Roi des Lombards de 749 à 756.,,Cividale del Friuli,0756-12-01,Pavie,Royaume lombard,,,,76706671,,,Q312504
Ajax,,Ajax le grand ? le petit ?,Ajax,,,,,,,,,,,,,,
IbnAlHaytham,Abu Ali,al-Hasan ibn al-Hasan ibn al-Haytham,"Alhazen, Alhacen, Azel (italien); Azeno; Azel","mathématicien, opticien et astronome arabe","mathématicien ou mathématicienne, physicien ou physicienne, philosophe, astronome, inventeur, astrologue, ingénieur ou ingénieure | On trouve aussi Alhazen, et Alhacen. Son nom complet est Abu Ali al-Hasan ibn al-Hasan ibn al-Haytham. En italien, on trouve aussi
            Azel.",0965,Bassorah,1038,Le Caire,,,,12028218d,90038995,000000011774221X,495/48101,Q11104
Alaric,Alaric,Alaric,Alaric Ier; Alaric,roi des Wisigoths de 395 à 410,"souverain, chef militaire",0400,Pteros,0410-12,Cosenza,,,500355391,145189664,105142321,0000000121462974,,Q102371
Albane,Francesco,Albani,Albane; FRANÇOIS ALBANE; l'Albane; l’Albane; Albanes,peintre italien (1578-1660),"Collaborated with Annibale Carracci and Domenichino on many decorative schemes, including some in the Palazzo Farnese in Rome. He also
            painted altarpieces, idyllic landscapes, and allegorical paintings. Comment on works: Religious; Mythology",1578-03-17,Bologna,1660-10-04,Bologna,États pontificaux,,500005860,131807699,69070806,0000000083444563,495/104506,Q358147
AlbertII,Albert,Albert II,Albert le Magnanime; Albert le Grand,"roi des Romains, duc d'Autriche","monarque | surnommé Albert le Magnanime Duc d'Autriche de 1404 à 1439, roi de Bohême et de Hongrie de 1437 à 1439 et roi des Romains de 1438 à
            1439.",1397-08-16,Vienne,1439-10-27,Neszmély,Saint-Empire romain germanique,,,11985544q,20471058,0000000061272983,495/15883,Q157112
