xml_id	personne_qid	type	lieu_qid
ClaudeGalien	Q8778	naissance	Q18986
ClaudeGalien	Q8778	décès	Q220
AlGhazali	Q9546	naissance	Q681427
AlGhazali	Q9546	décès	Q681427
JeanDamascene	Q51884	naissance	Q3766
JeanDamascene	Q51884	décès	Q1059946
MatthausMerianI	Q57968	naissance	Q78
MatthausMerianI	Q57968	décès	Q522541
CarloMedici	Q59867	naissance	Q2044
CarloMedici	Q59867	décès	Q2044
Muses	Q66016	naissance	Q208846
JeanIdeTournes	Q174839	naissance	Q49831
JeanIdeTournes	Q174839	décès	Q90
ApolloniosdePerga	Q180109	naissance	Q719815
ApolloniosdePerga	Q180109	décès	Q87
Aratos	Q180671	naissance	Q656954
SainteAgathe	Q200895	naissance	Q1903
SainteAgathe	Q200895	décès	Q1903
SainteAgathe	Q200895	naissance	Q2232623
SainteAgathe	Q200895	décès	Q1903
SainteApolline	Q232427	naissance	Q87
SainteApolline	Q232427	décès	Q87
GuidobaldodelMonte	Q266017	naissance	Q13134
GuidobaldodelMonte	Q266017	décès	Q207139
CosimoII	Q312297	naissance	Q2044
CosimoII	Q312297	décès	Q2044
PieterAertsen	Q326548	naissance	Q727
PieterAertsen	Q326548	décès	Q727
CristofanoAllori	Q352482	naissance	Q2044
CristofanoAllori	Q352482	décès	Q2044
FrancoisdeTournon	Q459338	naissance	Q213155
FrancoisdeTournon	Q459338	décès	Q185075
JuanHurtadoDeMendoza	Q559262	naissance	Q11953
JuanHurtadoDeMendoza	Q559262	décès	Q220
FedericoCommandino	Q671745	naissance	Q2759
FedericoCommandino	Q671745	décès	Q2759
CorneilleDeLyon	Q720941	naissance	Q36600
CorneilleDeLyon	Q720941	décès	Q456
BaldassarreLanci	Q804746	naissance	Q2759
BaldassarreLanci	Q804746	décès	Q2044
LodovicoCigoli	Q928350	naissance	Q3676625
LodovicoCigoli	Q928350	décès	Q220
DomenicoCresti	Q966655	naissance	Q82873
DomenicoCresti	Q966655	décès	Q2044
NiccoloBoldrini	Q970010	naissance	Q6537
NiccoloBoldrini	Q970010	décès	Q641
TheodosedeTripoli	Q1266186	naissance	Q373189
GabrieleGiolitoDeFerrari	Q1490296	naissance	Q25213
GabrieleGiolitoDeFerrari	Q1490296	décès	Q641
GiovanniAntonioDaBrescia	Q1525753	naissance	Q6221
GiovanniAntonioDaBrescia	Q1525753	décès	Q220
GiovanniBilivert	Q1525968	naissance	Q2044
GiovanniBilivert	Q1525968	décès	Q2044
JacopoChimenti	Q2625832	naissance	Q2044
JacopoChimenti	Q2625832	décès	Q2044
BernardSalomon	Q2898582	naissance	Q456
BernardSalomon	Q2898582	décès	Q456
GregoireHuret	Q3118459	naissance	Q456
GregoireHuret	Q3118459	décès	Q90
LodovicoDomenichi	Q3257803	naissance	Q13329
LodovicoDomenichi	Q3257803	décès	Q13375
AlessandroAdimari	Q3609797	naissance	Q2044
AlessandroAdimari	Q3609797	décès	Q2044
FrancescoMosca	Q3750330	naissance	Q2044
FrancescoMosca	Q3750330	décès	Q13375
AndreaSalvadori	Q4755263	naissance	Q52085
AndreaSalvadori	Q4755263	décès	Q2044
CorneliusVanDerGeest	Q5171269	décès	Q12892
PieterCorneliszVanRijck	Q7192766	naissance	Q690
PieterCorneliszVanRijck	Q7192766	décès	Q38
ZenonChypre	Q8069165	naissance	Q229
GiacomoCastriotto	Q16185900	naissance	Q2759
GiacomoCastriotto	Q16185900	décès	Q6454
GiovanniBritto	Q16559850	naissance	Q183
PompeoPedemonte	Q16591295	décès	Q6247
GianMarcoCavalli	Q19569688	naissance	Q16204
Avicenne	Q8011	naissance	Q4072887
Avicenne	Q8011	décès	Q28587
IsrahelVanMeckenem	Q77554	décès	Q3917
Menandre	Q118992	naissance	Q13415481
Menandre	Q118992	décès	Q5494306
Plotin	Q134189	naissance	Q29962
Plotin	Q134189	décès	Q128105
Plotin	Q134189	naissance	Q1878691
Plotin	Q134189	décès	Q128105
Pindare	Q134929	naissance	Q3008765
Pindare	Q134929	décès	Q13533353
JohannesOckeghem	Q143059	naissance	Q668950
JohannesOckeghem	Q143059	décès	Q288
JosquinDesPrez	Q143100	naissance	Q26385
JosquinDesPrez	Q143100	décès	Q494533
JosquinDesPrez	Q143100	naissance	Q274740
JosquinDesPrez	Q143100	décès	Q494533
MartinSchongauer	Q155575	naissance	Q130994
MartinSchongauer	Q155575	décès	Q489911
Porfirius	Q203445	naissance	Q82070
Porfirius	Q203445	décès	Q220
Lattanzio	Q209102	naissance	Q111740735
Lattanzio	Q209102	décès	Q3138
Beatrice	Q232913	naissance	Q2044
Beatrice	Q232913	décès	Q2044
AlessandroPiccolomini	Q250089	naissance	Q2751
AlessandroPiccolomini	Q250089	décès	Q2751
Portia	Q255448	naissance	Q1747689
Portia	Q255448	décès	Q1747689
LauraDeNoves	Q270227	naissance	Q6397
LauraDeNoves	Q270227	décès	Q6397
Proclus	Q271809	naissance	Q16869
Proclus	Q271809	décès	Q1524
Jamblique	Q310916	naissance	Q979091
Berossus	Q312425	naissance	Q5684
LuciusMetellus	Q359810	naissance	Q1747689
LuciusMetellus	Q359810	décès	238e5bf3f5be48bd94151afda64f151f
OrazioGentileschi	Q367360	naissance	Q13375
OrazioGentileschi	Q367360	décès	Q84
AgostinoSteuco	Q395722	naissance	Q20458
AgostinoSteuco	Q395722	décès	Q641
PippoSpano	Q540415	naissance	Q2044
PippoSpano	Q540415	décès	Q756598
FilippoNapoletano	Q601644	naissance	Q2634
FilippoNapoletano	Q601644	décès	Q220
AbrahamGovaerts	Q651521	naissance	Q12892
AbrahamGovaerts	Q651521	décès	Q12892
Berengario	Q670782	naissance	Q100041
Berengario	Q670782	décès	Q13362
CelioSecondoCurione	Q677728	naissance	Q9284
CelioSecondoCurione	Q677728	décès	Q78
FrancescoSansovino	Q724746	naissance	Q220
FrancescoSansovino	Q724746	décès	Q641
BernardoSegni	Q823038	naissance	Q2044
BernardoSegni	Q823038	décès	Q2044
FrancescoCamilliani	Q1055650	naissance	Q2044
FrancescoCamilliani	Q1055650	décès	Q2044
TheophaneDeMythilene	Q1379677	naissance	Q189059
Leonico	Q1990693	naissance	Q641
Leonico	Q1990693	décès	Q617
BernardinoCapitelli	Q2898893	naissance	Q2751
BernardinoCapitelli	Q2898893	décès	Q2751
MatteoMattioli	Q2976521	naissance	Q3437
MatteoMattioli	Q2976521	décès	Q617
FrancescoDaButi	Q3081140	naissance	Q13375
FrancescoDaButi	Q3081140	décès	Q13375
PandolfoDellaStufa	Q3893158	naissance	Q2044
PandolfoDellaStufa	Q3893158	décès	Q2044
VincenzoBandello	Q7932205	naissance	Q17338
VincenzoBandello	Q7932205	décès	Q53826
LucaAlamanni	Q15967022	décès	Q2044
Stradino	Q16560058	naissance	Q2044
GiovanniAntonioFlaminio	Q17284944	naissance	Q50195
GiovanniAntonioFlaminio	Q17284944	décès	Q1891
NiccoloDeMedici	Q18289508	naissance	Q2044
NiccoloDeMedici	Q18289508	décès	Q2044
LorenzoRidolfi	Q41617810	naissance	Q2044
LorenzoRidolfi	Q41617810	décès	Q2044
JacquesLeBicheur	Q87186180	décès	Q90
Abraham	Q9181	décès	Q168225
IbnAlHaytham	Q11104	naissance	Q48195
IbnAlHaytham	Q11104	décès	Q85
Achille	Q41746	décès	Q22647
Aaron	Q51676	naissance	Q11768
Aaron	Q51676	décès	Q2900633
AdrienVI	Q57087	naissance	Q803
AdrienVI	Q57087	décès	Q220
Alaric	Q102371	naissance	Q3621695
Alaric	Q102371	décès	Q13619
HansVonAachen	Q152835	naissance	Q365
HansVonAachen	Q152835	décès	Q1085
AlbertII	Q157112	naissance	Q1741
AlbertII	Q157112	décès	Q630060
