fichier,nb_persName,nb_placeName,total_NE
Agucchi_TrattatoPittura.xml,247,48,295
Daret_VieRaphael.xml,837,269,1106
DupuyDuGrez_TraitePeinture.xml,2697,1990,4687
Freart_IdeaDellaPerfezione.xml,571,76,647
Lomazzo_Idea.xml,1067,295,1362
Lomazzo_TraicteProportion.xml,958,637,1595
Marino_DicerieSacre.xml,845,124,969
Monier_HistoireArtsRapportDessein.xml,3966,2040,6006
Pader_LaPeintureParlante.xml,742,236,978
Pader_SongeEnigmatique.xml,956,505,1461
Piles_AbregeViePeintres.xml,4699,1669,6368
Piles_ConversationsConnaissancePeinture.xml,1439,293,1732
Piles_CoursPeinture.xml,1473,233,1706
Piles_DialogueColoris.xml,400,35,435
Vinci_TraitePeinture_fra.xml,189,69,258
Vinci_TrattatoPittura_ITA.xml,939,203,1142
Zuccari_IdeaPittori.xml,347,50,397
Zuccari_Lettera.xml,188,76,264
Zuccari_OrigineProgressoAcademiaDissegno.xml,778,82,860
