nom_fichier;gold_persName;gold_placeName;vbalise_persName;vbalise_placeName;vspacy_persName;vspacy_placeName;vstanza_persName;vstanza_placeName
Agucchi_TrattatoPittura.xml;193;35;159;35;234;184;247;48
Daret_VieRaphael.xml;663;107;635;127;650;455;837;269
DupuyDuGrez_TraitePeinture.xml;1174;452;1167;432;1651;3439;2697;1990
Freart_IdeaDellaPerfezione.xml;372;30;364;37;495;631;571;76
Lomazzo_Idea.xml;962;157;987;153;899;710;1067;295
Lomazzo_TraicteProportion.xml;417;82;415;114;538;1205;958;637
Marino_DicerieSacre.xml;668;57;489;43;718;505;845;124
Monier_HistoireArtsRapportDessein.xml;2592;1303;2281;1231;2720;3337;3966;2040
Pader_LaPeintureParlante.xml;209;21;203;39;357;532;742;236
Pader_SongeEnigmatique.xml;477;70;397;99;578;715;956;505
Piles_AbregeViePeintres.xml;2633;1254;2344;1235;2563;4783;4699;1669
Piles_ConversationsConnaissancePeinture.xml;862;183;809;181;653;1294;1439;293
Piles_CoursPeinture.xml;517;51;519;55;653;1492;1473;233
Piles_DialogueColoris.xml;237;10;233;12;152;295;400;35
Vinci_TraitePeinture_fra.xml;9;5;26;10;149;212;189;69
Vinci_TrattatoPittura_ITA.xml;576;208;564;149;1095;731;939;203
Zuccari_IdeaPittori.xml;78;12;126;9;451;355;347;50
Zuccari_Lettera.xml;112;36;94;38;278;172;188;76
Zuccari_OrigineProgressoAcademiaDissegno.xml;534;42;292;29;647;709;778;82
