nom_fichier;version;type_entite;paragraphe;texte_gold;ref_gold;texte_systeme;ref_systeme;score_similarite_pct;statut;TP;FP;FN;contexte
Agucchi_TrattatoPittura.xml;Vbalise;persName;;Lodovico Grignani.;#LodovicoGrignani;;;;Faux negatif;0;0;1;… della Pittura, e del Disegno. IN ROMA , Nella Stamperia di [Lodovico Grignani.] MDCXLVI. CON LICENZA DE' SUPERIORI. A TUTTI COLORO. Che del…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P1;ANNIBALE Carracci;#AnnibaleCarracci;Carracci;#AnnibaleCarracci;64;Erreur texte;1;0;0;… di ottanta, Disegnate di penna Nell'hore di ricreatione DA [ANNIBALE CARRACCI] INTAGLIATE IN RAME, E cavate dagli Originali DA SIMONE GUIL…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P1;Carracci;#Carrache;Carracci;#AnnibaleCarracci;100;Erreur @ref;1;0;0;…ta, Disegnate di penna Nell'hore di ricreatione DA ANNIBALE [CARRACCI] INTAGLIATE IN RAME, E cavate dagli Originali DA SIMONE GUIL…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P3;Carracci;#Carrache;Carracci;#AnnibaleCarracci;100;Erreur @ref;1;0;0;…ta, Disegnate di penna Nell'hore di ricreatione DA ANNIBALE [CARRACCI] INTAGLIATE IN RAME, E cavate dagli Originali DA SIMONE GUIL…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P4;quell'Autore;#Agucchi;;;;Faux negatif;0;0;1;"…na cosa di quegli scritti in compagnia delle Figure; poiché [quell'Autore] fa una particolar mentione della scuola de' Carracci, e più…"
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P4;Carracci;#Carrache;Carracci;#AnnibaleCarracci;100;Erreur @ref;1;0;0;…ta, Disegnate di penna Nell'hore di ricreatione DA ANNIBALE [CARRACCI] INTAGLIATE IN RAME, E cavate dagli Originali DA SIMONE GUIL…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P5;Aristide Tebano;#Aristide;Aristide;#Aristide;70;Erreur texte;1;0;0;… e Timagora, e Protegene, e Zeusi, e Parrasio, e Timante, e [Aristide Tebano], le aggiunsero l'un doppo l'altro molte parti, che le manca…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P9;Alessandro;#AlexandreLeGrand;;;;Faux negatif;0;0;1;…amente non si dovrebbe cercare, quale sia stato il volto di [Alessandro], o di Cesare, ma quale esser dovrebbe quello di un Re, e di…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P9;Cesare;#JulesCesar;;;;Faux negatif;0;0;1;…rebbe cercare, quale sia stato il volto di Alessandro, o di [Cesare], ma quale esser dovrebbe quello di un Re, e di un Capitano …
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P13;;;Alberto;#AlbertoAlberti;;Faux positif;0;1;0;…na, la Viniziana, la Lombarda, e la Toscana. Fuori d'Italia [Alberto] Duro formò la Scuola sua, ed è meritevole della lode, che a…
