"Identifiants inexistants
"
fileName,Ref
Barbaro_DieciLibriDellArchitetturaATIR.xml,"Euphrate,Po"
Bartoli_ArchitetturaATIR.xml,"Euphrate,Phenicie,Po"
Cataneo_PrimiQuatroLibriArchitetturaATIR.xml,Po
Felibien_PrincipesArchitectureSculpturePeinture.xml,"Elbe,Lacedemone,Pyrenees,Roses,SaintMaximin"
Martin_ArchitectureAlberti.xml,"Achaie,Alba,Albanie,Arabie,Assos,Bosphore,Boulogne,Capoue,Cumes,Delos,Epire,Ethiopie,Euphrate,Garama,Lesbos,Mestre,Pharos,Pompei,Procida,Sagonte,Spolete,Tibre,Utique"
Martin_DiscoursSongePoliphile.xml,"Arabie,Po,Tibre"
Palladio_ArchitectureTradFreart.xml,"Cumes,Euphrate,Tibre"
Palladio_QuattroLibriArchitetturaATIR.xml,Euphrate
Scamozzi_IdeaArchitetturaUniversaleATIR.xml,"Arno,Euphrate"
Armenini_PrecettiDellaPitturaATIR.xml,"Cana,Phenicie"
Baglione_ViteATIR.xml,"Arno,Cana,Tibre"
Baldinucci_Notizie.xml,"Arno,Brie"
Baldinucci_Vocabolario.xml,Arno
Bartoli_RagionamentiAccademiciATIR.xml,"Arno,Euphrate"
Bellori_ViteATIR.xml,Arno
Borghini_RiposoATIR.xml,"Arno,Cana,Euphrate,Tibre"
Celio_Memoria.xml,Cana
Cellini_VitaBenvenutoCelliniATIR.xml,"Arno,Po"
Dolce_DialogoDellaPitturaIntitolatoAretinoMemofonte.xml,Tibre
Doni_DisegnoATIR.xml,Arno
DupuyDuGrez_TraitePeinture.xml,Loire
Felibien_Entretiens2.xml,"Bruegel,Suisse"
Felibien_Entretiens3.xml,"Brie,Bruegel,Cana,Suisse"
Felibien_Entretiens4.xml,Bruegel
Frey_CodiceMagliabechianoATIR.xml,Arno
Frey_LibroAntonioBilliATIR.xml,Arno
Félibien_Entretiens5.xml,Bruegel
Lomazzo_TraicteProportion.xml,Cana
Lomazzo_TrattatoATIR.xml,"Arno,Euphrate,Tage,Tibre"
Monier_HistoireArtsRapportDessein.xml,"Arabie,Cumes,Kos"
Ottonelli_TrattatoDellaPittura.xml,"Cana,Po"
Pader_SongeEnigmatique.xml,Tarn
Passeri_ViteATIR.xml,"Arno,Tibre,Turin"
Piles_AbregeViePeintres.xml,"AbbayeSaintMartinEsAiresDeTroyes,BasiliqueSantaCroceFlorence,Bruegel,Caunos,Chiusi,Kos,PantheonRome,PlaceDesVosges,PortaSanPaolo,Spolete,Suisse,TriniteDuMont"
Piles_ConversationsConnaissancePeinture.xml,Brie
Varchi_LezzioniMemofonte.xml,"Arno,Tibre"
Vasari_Vite1551Memofonte.xml,"Arno,Cana,Po,Tibre"
Vasari_Vite1568Memofonte.xml,"Arno,Cana,Po,Tibre"
Vinci_TrattatoPittura_ITA.xml,"Camaldoli,Istrie,MonteCaucaso,Turin"
Zuccari_Lettera.xml,"ForumBoarium,TempioDellaSalus"
Bosse_SentimentsDistinctionManieresPeinture.xml,Tibre
Bassi_DispareriArchitettura.xml,JacopoDeBarberi
Felibien_PrincipesArchitectureSculpturePeinture.xml,"AlphonseIIEste,Arcesilas,BernardoCesi,Calcostenes,Canachus,CharlesDeLEcluse,Demophile,Dubie,EtienneDeByzance,GeorgiusAgricola,Gorsanus,IsaacGribelin,JacquesBordier,JeanMace,LeonardoGarzoni,LouisHance,Lysistratos,MathurinJousse,Morliere,Phyromachos,PierreChartier,RobertVauquer,Talos"
Martin_ArchitectureAlberti.xml,"AdrienIII,Agathocle,Anubis,Apis,AppiusClaudiusCaecus,Aristee,AristobuleDeCassandreia,Boccace,CaiusMaecenas,CambyseI,CambyseII,Demosthene,Denys,Epimenide,Eratosthene,Eunostos,Euryalus,Frontin,Hippodamos,HydreDeLerne,Hyperbius,Iolaos,Iphicles,Iphicrate,Jason,JuliusFirmicusMaternus,Latone,LuciusTarutiusFirmanus,Martial,Nemesis,Ops,Parmenion,Peirasos,Phlegias,Pisistrate,Properce,PseudoNechepsos,PseudoPetosiris,PubliusCorneliusDolabella,RobertDeLenoncourt,Salluste,Sardanapale,Saserna,Sesostris,TatienSyrien,Typhon,Tyrannoctones,Zarina"
Martin_ArchitectureSerlio.xml,"JeanBarbe,RobertDeLenoncourt"
Bartoli_RagionamentiAccademiciATIR.xml,CarloLanzetti
Celio_Memoria.xml,"ApollineDAlexandrie,BaldassarreCroce,CristoforoCasolani,DomenicoCresti,ElisabethDAragon,FrancescoTraballesi,GaspareCelio,GianVittorioRossi,GiovanniBattistaDellaMarca,GiovanniBattistaNaldini,JacopinoDelConte,JacopoTorni,NicolasDeMyre,NicoloMartinelli,PaoloGiordani,PhilippeIIIDEspagne,PietroCapocci,SaintAntoineDePadoue,SaintApollinaire,SaintAthanase,SaintRemi,SantAmbroise,ScipioneBonino,SebastianoVannini"
Daret_VieRaphael.xml,Muses
Felibien_Entretiens1.xml,FranciaBigio
Felibien_Entretiens2.xml,DonatoZeno
Lomazzo_Idea.xml,"DonRodrigoDiToledo,FedeGalitia,FedericoComandino,Gaudentio,GiovanniBattistaFonteo,GottardoDaPonte,NuntioGalitia,OratioSammacchini,SigismondoFoliano"
Monier_HistoireArtsRapportDessein.xml,Caporali
Ottonelli_TrattatoDellaPittura.xml,FranciaBigio
Piles_AbregeViePeintres.xml,"AgostinoTassi,AnnibalCaro,CaterinaPenni,FranciaBigio,GirolamodaTreviso,MichelAngeJugementSixtine,RaffaeleSansoniRiario,RuggieroDeRuggieri"
Piles_CoursPeinture.xml,DonatoZeno
Vinci_TrattatoPittura_ITA.xml,"Colote2,DenysdeColophon,GiovanniAlberti2,MilondeCrotone,Sigonius"
Zuccari_Lettera.xml,"GaioFabio,MarfisaEste"
Zuccari_OrigineProgressoAcademiaDissegno.xml,PaoloSaetoniGrimaldi
Bosse_SentimentsDistinctionManieresPeinture.xml,"JanSaenredam,WillemIsaacszSwanenburg"
LeBicheur_TraictePerspective.xml,Jo
"
Lieux dans des balises persName
"
Martin_ArchitectureAlberti.xml,"Ostie,Tyr"
Vinci_TrattatoPittura_ITA.xml,Allemagne
Bosse_SentimentsDistinctionManieresPeinture.xml,Cortone
"
Personnes dans des balises placeName
"
Martin_ArchitectureAlberti.xml,"Antiochos,AuluGelle"
Vinci_TrattatoPittura_ITA.xml,Euphranor
