ID,Noms
Aaron,Aronne
Abel,Abel
AbelServien,Servient
AbgarV,"Roi d'Edesse,ce Prince,Abagare"
Abiron,Abiron
Abraham,"l'Abraham,Abraham"
AbrahamBloemaert,"IBRAHAM BLOMART,Bloëmart,Bloemart,Blomart"
AbrahamBosse,"Abraham Bosse,Sr. Bosse,A. Bosse,Bosse"
AbrahamJanssens,"ABRAHAM JANSON,Janson"
AbrahamJanszVanDiepenbeeck,"Abraham Diepembek,ABRAHAM DIPEMBEC,Diépembeck"
Achab,Acab
Achille,"d'Achille,Achilles,Achille"
AchilleBocchi,Bocchio
AchilleDeHarlayDeSancy,M. de Sancy
Adam,"Adamo,Adam"
AdamElsheimer,"ADAM ELSEIMER,Adam Elseimer,Adam"
AdamVanNoort,"Adam Van-Noort,Adam Van-Oort,Adam Van-Ort,ADAM VAN ORT"
Adiafare,Adiafare
Adonis,"d'Adonis,Adonis,Adone"
Adramalech,Adramelech
AdriaenBrouwer,ADRIEN BRAUR
AdriaenCollaert,Collært
AdriaenHanneman,"HANNEMAN,Hanneman"
AdrienIII,Adrien troisieme
AdrienVI,"Adrien sixiéme,Adrien VI,Adrien"
AdrienVries,Adriano Friso
AegidiusSadeler,"Gilles Sadeler,Giles Sadeler,G. Sadeler"
AeliusAristide,Aelian Aristide
AeliusLampridius,Lampride
AeliusSpartianus,Spartien
Agamemnon,"Agamemnon,Agamémnon"
Agar,"AGAR,Agar"
Agatarque,"Agatharque,Agatarque"
Agathocle,Agathocles
Agenor,Agenor
Agesandros,"Agessander,Agesandre"
Agesilaos,Agesilao
Aglaophon,"Aglaofante,Aglaophon"
Aglaure,Aglaure
AgnoloBronzino,"Francois Bronzin,Le Bronzin,Bronzino"
AgnoloDiVentura,"Agnolo
               Sanesi,Agnolo Sanesi,Dagnolo,Agnolo"
AgnoloDoni,Agnolo Doni
AgnoloGaddi,"ANGELO GADDI,AGNOLO GADDI,Agnole,Angelo"
Agoracritos,Agoracritos
AgostinoBusti,"Augustin Busto,Augustin,Bambaia"
AgostinoCarracci,"Augustin Carache,son Frére,Agostino,AUGUSTIN,Augustin,Fratello"
AgostinoChigi,"Augustin
                  Chigi,Augustin Ghisi,Augustin Chigi,Augustin,Chygi"
AgostinoDiGiovanni,"Augustin,Agostino"
AgostinoDisserolio,Agostino Disserolio
AgostinoRamelli,Rameli
AgostinoTassi,"Augustin Tasse,Augustin"
AgostinoVeneziano,"Augustin Venitien,Augustin venitien,Augustin"
AgrippaIer,"Agrippe,Herodes"
Agucchi,"Gratiadio Machati,Monsignor Agucqui,quell'Autore,Agucchi"
AhmosisII,Amasis
Aistolf,Astolfe
Ajax,"d'Ajax,Ajax"
Alaric,"cet Heros,Alaric"
Albane,"FRANÇOIS ALBANE,,l'Albane,Albanes,Albane"
AlbertDAutriche,Archiduc Albert
AlbertII,Albert le Grand
AlbertRubens,"fils Albert,Albert"
AlbertVII,"l'Archiduc Albert d',l'Archiduc Albert,Archiduc Albert,Prince Albert,Albert,Prince"
AlbertiDurante,"Durante dal Borgo,Durante Alberti,Messer Durante,Durante dal,Durante"
AlbertoAlberti,Alberto Alberti
AlbrechtDurer,"Albert
                  Durer,Alberto
               Durero,Alberto
               Duro,Cet excelent homme,Alberto Durero,Alberto Duro,Albert Dürer,Albert Duret,Albert Durer,Albert Dure,ALBERT DURE,Alberto,Durero,Albert,Duret"
AlbrechtDurerElder,Albert Dure
Alcamene,"d'Alcamene,Alcamenes,Alcamene"
AlchidiaRodio,Alchidia Rodio
Alcibiade,Alcibiade
Alcinoos,Alcinoo
AlessandroAlgardi,"l'Algarde,Algardi"
AlessandroBonvicino,"Alexandre Moretto,Alexandre,Moretto"
AlessandroCaimo,"Alessandro Caimo,Signor Caimo,Alessandro"
AlessandroCasolani,"Alexandre
                     Casolany"
AlessandroFarneseIlGiovane,"Alessandro Farnese,Cardinal Farnése,Cardinal Farnése,Farnese"
AlessandroMaganza,Alessandro Maganza
AlessandroMenganti,Alexandre Minganti
AlessandroVittoria,"Alessandro Vittorio da Trento,Jaques Alexandre"
AlessoBaldovinetti,Allexis Baldovinetti
AlexandreFarnese,"Cardinal Farnése,Duc de Parme,Serenissimo,Sua Altezza,Alessandro"
AlexandreLeGrand,"Alessandro
                     Magno,Alessandro
               Magno,Alessandro
            Magno,Alessandro Macedone,Alexandre le Grand,Alexandre le grand,le Grand Alexandre,Alessandro Magno,uno figliuolo di,grand Alexandre,figliuolo d',Alexandre le,d'Alexandre,Conquerant,Alessandro,ce Prince,Alexandre,ce Roi"
AlexandreSevere,"Alessandro Severo,Alexandre Severe,Cet Empereur,cet Empereur,Alexandre,Severe"
AlexandreVI,"Alexandre sixieme,Alexandre VI"
AlfonsoLombardi,Alfonse Lombardi
AlfonsoN,"Signor Alfonso,Alfonso N.,ALFONSO N."
AlofDeWignacourt,Maître de Vignacourt
Alofili,Alofili
AlonsoChacon,Ciaconius
AlphonseIEste,"Alphonse Duc de Ferrare,Alfonce de Ferrare,Duc de Ferrare,Alphonse Du de,Duc Alphonse,Duc Alfonse,Alphonse I,Alfonso,Alfonce,Duc de,Duc"
AlphonseIIEste,Alfonse II
AlphonseV,"Alphonse Roy de,Alfonse premier,Roy Alfonse,ce Prince"
Althee,Altea
AlviseCornaro,Cornaro
AlviseVivarini,Louis Vivarino
Amalasonte,Amalafonte
AmalteoPomponio,Pomponio Amalteo
Amalthee,Alphée
AmbrogioFigino,"Ambroise Sigin,Figini"
AmbrogioLorenzetti,"AMBROGIO LORENZETTI,Ambrogio Lorenzetti,Lorenzetti"
AmbrogioSpinola,Marquis Spinola
AmbroiseDubois,Ambroise du Bois
AmbroiseFredeau,Frere Fredeau
AmmienMarcellin,"Ammiam Marcellin,Ammian Marcellin,Ammian 2"
Amphiaraos,Anfiarao
Amphion,"Amfione,Amphion"
Amulius,Amulio Romano
Amycos,Roy Bebrie
Anacreon,Anacréon
Anaxagore,Anaxagore
Anchise,"Anchises,Anchise"
AndreFelibien,"M. Felibien,Félibien,Felibien,FELIBIEN"
AndreLebre,Andreas Lebre
AndreThevet,André Thevet
AndreaAlciato,"André Alciat,Alciato"
AndreaBoscoli,André Boscoli
AndreaCamassei,André Camassée
AndreaDelCastagno,"Andrea de gl'impiccati,ANDRE DEL CASTAGNO,André del Castagno,André,André,Andre"
AndreaDelSarto,"Andre del
                     Sarto,Andrea del
               Sarto,Andrea
               del Sarto,Andrea del
            Sarto,André del Sarto,André del Sarte,Andrea del Sarto,André del Sarte,André del Sarto,ANDRE DEL SARTE,Andre del Sarto,André Del Sarto,Andre Delsarto,André Delsarto,André 4,André,Sarto,Andre"
AndreaDoria,"principe Doria,Andrea Doria"
AndreaFeltrini,"ANDREA COSIMO,André"
AndreaGritti,"Andrea Gritti,Doge Gritti,Doge"
AndreaMantegna,"Andre
                        Mantegne,Andrea
               Mantegna,André Manteigne,André Montaigne,Andrea Mantegna,ANDRE MANTEIGNE,André Manteigne,André Mantouan,André Montagne,André Mantegné,André Mantegne,André Mantegna,Andre Mantege,Monteigne,Manteigne,Mantegna,André"
AndreaPalladio,"ANDREA PALLADIO,Andrea Palladio,Andre Palladio,André Palladio,le Palladio,Palladio"
AndreaPisano,"Andrea
               Pisano,Andrea
            Pisano,Andrea Pisano,André Pisan,André"
AndreaPrevitali,Giovanetto Cordeliaghi
AndreaSacchi,"André Sacchi,André Sacci,Sacchi"
AndreaSansovino,"Andrea Sansovino,André Contucci"
AndreaSguazzella,"André Squarzzella,Andrea Squazella"
AndreaSolario,"André de Solario,Andrea Solari"
AndreaTafiDiRico,"André Taffi,ANDRE TAFFI,André Tafi,Andre,Tafi"
AndreaVerrocchio,"Andrea
               Verrocchio,André del Verrochio,d'André Verrochio,Andrea Verrocchio,ANDRE VERROCHIO.,André Verrochio,il Verrocchio,Verrochio,Verochio"
AndreasVanWesel,"Andrea Vesalio,André Vesal,Vessale,Vesale"
AndriesBoth,"Henri,Henry,HENRY"
AndrinoEdesia,Adriano d'Edesia
Androcydes,"d'Androcide,Androcide"
Andromede,Andromede
Anfione,Anfione
AngeGabriel,"Ange Gabriel,Angelo"
AngePolitien,"Angelus Politianus,Ange Politian,Ange Politien,ANge Politian"
AngeloDiLorentino,"LAURENTININO D'ANGELO d'Arezzo,LAURENTINO D'ANGELLO"
AnneDAutriche,"Reine Regente,Reyne Regente"
AnneDeJoyeuse,Anne de Joyeuse
AnneMarieDughet,"la Sœur du,sa femme"
AnneMarieLouiseDOrleans,Mademoiselle
AnnibaleCarracci,"ANNIBALE
                  CARRACCI.,Annibal
                  Carracci,Annibale Carracci Bolognesi,Annibale
     Caracci,Annibale Carracci,Annibal Carracci,Annibale Caracci,Annibale Carazzi,Hannibal Carache,Annibal Carrache,Annibal Carache,il Fratello,d'Hannibal,le Carache,son frere,Annibale,Hannibal,Carracci,Fratello,Annibal,Carache,ANNIBAL,Maestro,Anibal"
AnnibaleFontana,Annibal Fontana
AnselmedeCantorbery,Santo Anselmo
AnselmusBoetiusDeBoodt,Boot
AnthonieVanMontfoortBlocklandt,Antoine de Montfort de Blocland
AnthonisMorVanDashorst,"ce fameux Peintre,ANTOINE MORE,Antoine More"
Antigonus,"Antigonus,Antigono"
Antinous,"Antinoüs,Antinous"
Antiochos,son pere
AntiochosIV,"Antiochus Epiphanes,Antiochus"
AntipaterDeBostra,Antipatre Bostrense
Antiphile,"Antiphilus,Antiphile,Antifolo,Anphile"
Antisthene,Antistene le Corroyeur
AntivedutoGramatica,Lantivedout
AntoineDeRatabon,Monsieur de
AntoineDeVille,Chevalier de Ville
AntoineDurand,Durand
AntoineFouquier,Fouquier
AntoineGodeau,Monsieur
AntoineLafrery,Antoine Lafreri
AntoineLePautre,"le
                        Pautre"
AntoineNicolasDeTroy,Troye
AntoinePech,A. Pech
AntoinePerrenotDeGranvelle,"cardinale Gran Vela,monsignor d'Arasse"
AntonFrancescoDoni,Doni
AntonMariaSalvini,ANTON MARIA SALVINI
AntonelloDeMessine,"Antonelle de Messine,ANTOINE DE MESSINE,Antoine de,Antonelle,Antoine"
AntoninLePieux,"Antonine,Antonin,Pius"
AntonioBadile,"Antoine Badille,Badile"
AntonioBarberini,Antonio Barberin
AntonioBosio,"Anthoine Boscio,Bosius"
AntonioCampi,Antoine
AntonioCapella,Antoine Capelle
