fileName,Noms
Bartoli_ArchitetturaATIR.xml,"Antio,Antiochia,Antiochie,Antro,Apamie,Aquilone,Archacheo,Archileo,Asone,Bisseio,Borea,Carmansa,Debri,Dolioli,Egina,Gabinio,Garamanti,Isola,Isola Athamo,Isola Eubussa,Isola Galeona,Isola Taurina,Isola Zelia,Isola del faro,Iurisconsulti,Laodicee,Mazzara,Media,Menfi,Nicopoli,Nonagio,Palumbrota,Panto,Piperno,Seleucie,Spiga,Sytico,Tempe,Volsconio Montano,Zelia"
Felibien_PrincipesArchitectureSculpturePeinture.xml,"Arc de Triomphe,Arcenal,Bengala,Chaliboné,Cosne,Echet,Eglise Cathedrale de,Eglise de,Eglise de saint Denis,Eglise de saint Pierre de,Eglise de sainte Agnes,Eglise de sainte Agnes hors les,Faux-bourg saint Jacques,Guzarate,Observatoire,Palais des Tuilleries,Trevi,Vaugirard,forest de Gastine,lac de Volsene,mont Athos,mont Cyllene,port de l'Escole"
Martin_ArchitectureAlberti.xml,"Achaie,Adrie,Aetolie,Agrigente,Alatre,Albanie,Antandre,Antiochies,Apamies,Arcadie,Archilee,Arges,Armenie,Arriane,Artachees,Ascalone,Ason,Assyrie,Athanatis,Atlas,Auau,Averne,Baleares,Barcelonne,Basilique sainct Paul,Basilique sainct Pierre,Beotie,Biblon,Bissée,Bithynie,Borysthene,Boulongne,Bourgongne,Brindise,Brunduse,Bubaste,Capoa,Carmanie,Carras,Cayre,Ceraunie,Chemmis,Chio,Cilicie,Cille,Cingol,Cio,Cizyque,Clazomene,Cluse,Colchos,Collatie,Corsique,Cyclades,Cyzique,Delos,Ebuse,Ecbatane,Eglise sainct Pierre,Elephante,Eleusine,Epidaure,Epire,Esculapius,Etherée,Ethrurie,Fiezoles,Gadare,Galatie,Galeon,Gaule,Gaule Lombarde,Gaule Transalpine,Gaulle Belgique,Gibraltar,Hernie,Hyperborée,Ilerde,Incis,Insodone,Isle Euboée,Isle de Diomede,Isle de Meroe,Itales,Judée,Lacedemone,Laodicies,Laodicée,Larisse,Lerne,Leucadie,Liborne,Lydie,Lysimachie,Maiorque,Margiane,Matute,Mazaque,Mede,Medes,Medie,Megare,Melas,Melos,Mesopotamie,Milete,Minorque,Muran,Nemorense,Nicopolie,Nigrepont,Ninive,Nonacre,Olympe,Othrisie,Palibotre,Panthos,Paphos,Pasagarde,Pau,Pelouse,Pergame,Persepoli,Peru,Phar,Phenice,Phrygie,Piombino,Pirée,Platée,Populonie,Posidoine,Poussol,Propontide,Rouvre,Sames,Sardes,Sarragosse,Scythie,Scythie Asiatique,Segeste,Segobie,Seleucie,Seleucies,Senes,Seosose,Siboli,Sinope,Sithique,Smyrne,Stratonique,Stymphale,Suse,Talgé,Tanagre,Tanais,Tarse,Tempe,Tenede,There,Theresie,Therme,Thessalie,Thrace,Thyrses,Tigranocerta,Tivoli,Tollede,Trebonien,Troade,Tybre,Tyrine,Tyrus,Vilumbrie,Volscone,eglise sainct Marc,eglise sainct Pierre,la Gaule Cisalpine,les Gaules,marche Trevisane,marche d'Ancone,pays de Pont,region de Pont,royaume de Pont,temple de"
Martin_ArchitectureSerlio.xml,Vincence
Palladio_QuattroLibriArchitetturaATIR.xml,"Isole di Gade,Morforio,Pantano"
Alberti_DellaPittura.xml,tempio di Lucina appresso i Crothoniati
Bartoli_RagionamentiAccademiciATIR.xml,"Armaca,Ionia,Lucca,Media,Poggiuolo,santo spirito"
Daret_VieRaphael.xml,Pozzuollo
Doni_DisegnoATIR.xml,"Aparita,Elmo,Paradiso,Uccellatoio,monte Olivetto"
DupuyDuGrez_TraitePeinture.xml,"'Autel des Dames Maltoises,Abé de S. Martin,Academie de S. Luc,Academie du Roi,Carie,Chapelle des Penitens Noirs,Chapelle du Carmel aux grands Carmes,Chapelle du milieu du Cloître Saint Sernin,Chapelle, aux Peres Dominicains,Château du Louvre,Cloître des Peres Cordeliers,Convent de la Trinité du Mont,Eglise S. Etienne,JUNQUIERES,Lidie,Maitre Autel des Peres Carmes Déchaussez,Mausolée de,Maître Autel des Peres Minimes,Maître Autel des Pères Jesuites de la maison Professe,Palais Farnese,Palais Farneze,Palais du Pape,Parroisse Saint Nicolas,Peres de la Trinité,Port d'Alexandrie,Religieux Minimes de,Sacristie des grands Augustins,Saint Pierre,Temple d',Trinité,haute Guienne,l'Autel du Choeur des Peres Augustins,l'Eglise de la Dalbade,l'Eglise des Peres Cordeliers,l'Hôtel de Ville,l'Hôtel de Ville sur la porte du grand Consistoire,l'avant Choeur des Peres Chartreux,la Maison de Medicis,la grande Sale,le Palais du,le Petit Luxembourg,maison de Medicis,maison à la rue de l'arc des Carmes"
