ID,Noms
,Eglise
AbbayeSaintMartinEsAiresDeTroyes,"Abbaye
							de saint Martin de Troyes"
Achaie,Achaie
Acre,Acre
Adee,Adée
Adria,Adria
Afrique,"Afrique,Africa"
AixLaChapelle,"Aix la Chapelle,Aix-la-Chapelle"
Alabanda,Alabande
Alba,Albe
Albanie,Albanie
Albigeois,"l'isle d'Albigeois,Alby"
Alexandrie,"Alessandria,Alexandrie"
AlexandrieItalie,Alessandria
Alkmaar,Alcmar
Allemagne,"Allemaigne,l'Alemagne,Allemagna,Allemagne,Allemange,Alemagna,Alemagne,Germanie,Germania"
Alost,Alost
Alpes,Alpes
Alsace,Alsace
Amerique,"l'Amerique,Amerique,America"
Amiens,Amiens
Amsterdam,"Amstelaedami,Amsterodami,AMSTERDAM,Amsterdam"
Ancone,Ancone
Ancyre,Ancyre
Andelys,Andely
Anet,Anet
Angers,Angers
Angleterre,"Grande
							Brétagne,d'Angleterre,Inghilterra,Angleterre,Bretaigne"
Antioche,Antioche
Antiochos,"Antioche Soter,Antioche"
Anvers,"d'Anvers,Anversa,Anvers,ANVERS"
Apennins,Appenins
Aquilee,"AQUILEIA,Aquilea"
Arabie,Arabie
Arcadie,Arcadia
Arcueil,"Arceuil,Arcueil"
Ardea,Ardée
Arezzo,"cette vile,Arrezze,Arezze,Arezzo,Arreze"
Argos,"Argos,Arges,Argo"
Ariccia,Aricia
Arles,Arles
Armenie,Armenie
Arnhem,Arnhem
Arno,Arno
Arpino,Arpino
Artaxata,Artaxata
Asie,"l'Asie,Asia,Asie"
Assise,Assise
Assos,Assos
Assyrie,"Assirie,Assiria,Assyrie"
Athenes,"d'Athènes,Athénes,Athènes,Athénes,Athenes,Athene,Atenes,Atene"
Athos,Athos
Augsbourg,"Augustanus,Ausbourg"
AuluGelle,Aulugelle
Autriche,Autriche
Autun,Autun
Auvergne,Auvergne
Avennes,Avennes
Avignon,"d'Avignon,Avignon"
Babylone,"Babillonia,Babilonia,Babylone,Babilone"
Baies,Baie
Barbarie,Barbarie
Barbazan,Barbasan
Barbencon,Barbançon
Basel,"Basileae,Basle"
BasiliqueSantaCroceFlorence,Eglise de Sainte Croix
BassanoDelGrappa,Bassan
Baviere,Baviere
Belleville,Belleville
Belvedere,"Belvedere,Belvédére"
BercheresLesPierres,"Berchere-l'Evêque,Bercheres"
Bergame,Bergame
Berlin,Berlin
Berne,Berne
Beziers,Beziers
Birsa,Birsa
Blois,Blois
BoisLeDuc,Bosleduc
Bologne,"cette vile,Bolongne,Boulogne,BOLOGNA,Bologne,Bologna"
Bolsena,"Bolséne,Bolsene"
Bordeaux,Bordeaux
Bosphore,Bosphore
Boulogne,Boulongne
Bourgogne,Bourgogne
Brabant,Brabant
Breda,Breda
Brescia,"Brescia,Bresce"
Bresso,Bresse
Brie,Brie
Bruegel,Brugle
Bruges,Bruges
Bruxelles,"Brusselles,Bruxelles,Brusseles"
Byzance,"Bisance,Bizance"
Cadix,Cadis
Cadmee,Cadmée
Cadore,Cador
Caen,Caen
Calabre,Calabre
Calidonia,Calidonia
Camaldoli,Camaldoli
Cambay,Cambaya
Camerino,Camerino
Campan,Campan
Cana,Cana
Candie,"Isle de Crete,Candie"
Capitole,"Campidoglio,Capitole"
Capoue,Capua
Cappadoce,Cappadoce
Caprarola,"Caprarole,Capriola"
Caravaggio,"Bourg de
							Caravage,Caravaggio,Caravagio,Caravage"
Carie,"Carie,Carye"
Carrara,"Carrara,Carrare"
Carthage,"Carthage,Cartage"
CastelFranco,"Castel
                     Franco,Castel Franco"
Catalogne,Catalogne
Catane,Catane
Caunos,Caune
Cento,Cento
Cesaree,"Cesarée,Cesaree"
Chambray,Chambray
Champagne,Champagne
CharentonLePont,Charenton
Charlemont,Charlesmont
Chartres,Chartres
Chateaudun,Chasteaudun
Chine,Chine
Chios,"Isle de
                                    Chio"
Chiusi,Chiusi
Chypre,"Cipre,Cypro,Cypre"
CittaDiCastello,"Città di Castello,Ville de Castello,Castello"
Cnide,"Gnide,Gnido"
Colchide,Colchos
Cologne,Cologne
Come,Como
ConchesEnOuche,Conchey
Constantinople,Constantinople
Copenhague,Compenhague
Corfou,"CORCIRE,Corcire,Corcyre,Corfou"
Corinthe,"Corinthe,Corinto,Corinte"
Correggio,"Correggio,Corrége,Coregio"
Cortone,"Cortonne,Cortone,Cortona"
Cotton,Cotton
Courtrai,Courtray
Cracovie,Cracovia
Crema,Crema
Cremone,"Cremona,Cremone"
Crete,Crete
Crotone,Crotone
Cumes,Cumes
Damas,Damas
Danemark,"Dannemark,Danemark"
Delft,Delft
Delos,Delos
Delphes,"Delphos,Delphes,Delphe,Delphi,Delfes,Delfo"
Deventer,Deventer
Dinant,Dinan
Dordrecht,Dort
Ecosse,"Escosse,Ecosse"
Egine,isle d'Oenone
Egypte,"l'Egipte,Egypte,Egipte,Egitto"
Elbe,Isle d'Elbe
Elide,Elide
EmpireOrient,Empire d'Orient
Ephese,"Ephese,Ephése,Efese,Efeso"
Epire,Epire
Espagne,"Cour d'Espagne,d'Espagne,Espagnes,Espaigne,Hispagna,Espagne,Spagna"
Ethiopie,Ethiopie
Euphranor,Eufranore Isthmio
Euphrate,"Euphrate,Eufrate"
Europe,"l'Europe,Europe"
Fabriano,Fabriano
Faenza,Faenza
Fayence,Fayence
Ferrare,"la même vile,Ferrare,Ferrara,Ferrari"
Fiesole,"Fiésole,Fiesole"
Flandres,"Florentiam,Flandres,Fiandra,Flandre"
Flessingue,Flessingue
Florence,"cette fameuse vile,Città nostra,cette vile,Florence,,Florentia,Fiorenza.,Florence,Fiorenza,FIORENZA,FIRENZE,Firenze,Città"
Fontainebleau,"Fontaine belle-eau,Fontainebelle-eau,Fontaine-bleau,Fonteinebleau,Fontainebleau,Fontanableo"
ForumBoarium,foro Boario
France,"Francia,Franzia,France,Franza"
Francfort,"Francofort,Francfort"
FrancheComte,Franche Comté
Frascati,Frescati
Frioul,"Frioul,Friul"
Gaete,Gaëte
Galilee,Galilée
GambassiTerme,Cambassi
Garama,Garamante
Genes,"cette superbe Vile,Génes,Génnes,Gennes,Genova,Génes,Genne,Genes"
Gorinchem,Gorcum
Gouda,Goude
Gouvieux,Camp de Cefar
Grece,"Grecia,Grece,Grèce,Gréce"
Grottaferrata,Grotta Ferrata
Gueldre,Gueldres
Haarlem,"HARLEM,Harlem"
Heemskerk,Hemskerc
Heidelberg,Heydelberg
Heraclee,Héraclée
Hollande,Hollande
Hongrie,Hongrie
Indes,"Inde orientale,Indes,Indie,Inde"
Ingolstadt,Ingolstad
Israel,"Israël,Israel"
Istrie,Istria
Italie,"l'Italia,Italie,Italia"
IvrySurSeine,Ivry
Jerusalem,"Ierusalemme,Hierusalem,Hieruslem,Jerusalem"
Judee,Judée
Kalkar,Calcar
Kos,"Ille de Co,Côos"
LaHaye,"la
							Haye,la Haye"
Lacedemone,Lacedemone
Lallaing,Lalain
Languedoc,Languedoc
Lanuvium,Lanuvium
Lazio,Lazio
LeMans,Mans
Lemnos,"Isle de Lemnos,Lemnos"
Lesbos,Lesbos
Leuctres,Leuctre
Leyde,"Leyde,Leida,Lede"
Libye,"Libie,Libye,Libia"
Liege,"Liége,Liege,Liége"
Lindos,Lindus
Lisbonne,Lisbonne
Livourne,Livourne
Loches,Loces
Locres,Locres
Loire,Loire
Lombardie,"Lomdardie,Lombardia,Lombardie"
Lombez,Lombés
Londres,"Londres,Londre,Londra"
Loreto,"Lorette,Loreto,Loreta"
Louvain,Lovania
Lucanie,Lucanie
Lucques,"Luques,Lucca,Luca"
Lugano,Lugano
Lyon,"Lion,Lyon"
LyonsLaForet,Lion
Maaseik,Masseyk
Macedoine,"Macedonia,Macédoine,Macedoine"
Madrid,Madrid
Maiano,Maiano
Mainz,Mayance
Malines,Malines
Malte,"Malthe,Malte,Malta"
Mantinee,Mantinée
Mantoue,"Mantoua,Mantoue,Mantouë,MANTOVA,Mantova,Mantoa"
Marathon,Marathon
Marseille,Marseille
Martaban,Martaban
Maubeuge,Mabuse
Mauritanie,Mauritanie
Melun,Melun
Memphis,"Memphis,Memphi"
Messine,Messine
Mestre,Mestri
Metaponte,Metaponte
Meudon,Meudon
Meulebeke,Meulebrac
Meuse,la Meuse
Mexique,Roiaume de Mexique
MezieresSurSeine,Mezieres
Milan,"republica Milanese,questa Città,Città nostra,nostra Città,cette vile,Milano,MILANO,Città,Milan"
Milos,Isle de Melos
Modene,"Modéne,Modene,Modena"
Monaco,Monaco
Mondovi,Monte Regale
Monferrato,MONFERRATO
Mons,Mons
MontFalterona,Falterona
MonteCaucaso,monte Caucaso
MonteCavallo,"Monte Cavallo,Monte cavallo,Montecavallo"
Montesson,Montesson
MontmirailSarthe,Montmiral
MontoireSurLeLoir,Montoire
Montpellier,Montpellier
Monza,Monza
Moulins,Moulins en Bourbonnois
Munich,"Munik,Munic"
Mycenes,Missene
Namur,Namur
Nancy,Nancy
Naples,"NAPOLI,Napoli,Naples,Naple"
Narbonne,Narbonne
Navarre,Navarre
NeubourgDuche,Neubourg
Nevers,Nevers
Nil,"Nilo,Nil"
Nimes,Nismes
Ninive,Ninive
Nivernais,Nivernois
Normandie,Normandie
Novare,Novara
Nuremberg,Nuremberg
Ogygie,Ogige
Orange,Orange
Orleans,Orleans
Orvieto,"Orviette,Orvieto,Orviete"
Ostie,Hostie
Oudenaarde,OUDENARDE
Padoue,"Padova,Padouë,Padoue"
Palerme,Palerme
PantheonRome,Eglise de la Rotonde
Paris,"Capitale,Parigi,PARIS,Paris"
Parme,"la mesme Ville,Parmes,Parme,Parma"
Parnasse,"Monte
                  Parnaso"
Paros,"Isle de Pâros,isola di Paro,Paros,Paro"
Passignano,Passignano
Passy,Passy
Pavie,"Pavia,Pavie"
PaysBas,"Païs-Bas.,pays bas,Païs bas,Païs-bas,Païs-Bas,Paï-bas"
Pegou,Pegu
Peloponnese,Peloponese
Perou,Perou
Perse,Perse
Perugia,"Pérouse,Perugino,Perouze,Perugia,Pérouse,Perouse,Peruge,Peruze"
Pesaro,"cette derniere vile,Pisaro,Pesaro"
Pessinonte,Pessinonte
Pharos,Pharo
Phenicie,Fenicie
Picardie,Picardie
Piemont,"PIED-MONT,Piedmont,Piemont"
Pise,"Pise,Pisa"
Pistoia,Pistoie
PlaceDesVosges,Place Royale de
Plaisance,Plaisance
Platees,Platées
Po,Po
Poitou,Poitou
Pologne,Pologne
Pomarance,Pomarance
Pompei,Pompee
PordenoneVille,"Pordenone,Pordenon"
PortaSanPaolo,Porte Pauline
PortoErcole,Porto Hercolé
Portovenere,Porto-Venere
Portugal,"Portugallo,Portugal"
Pouzzoles,"Pouzzuolo,Pouzzole,Poussol"
Prague,Prague
Prasville,Prasville
Preneste,"Palestrina,Preneste"
Procida,Prochyta
Provence,Provence
Pula,Pola
Pyrenees,"Pyrenées,Pirenées,Pyrenées"
Rance,Rance
Ravenna,"cette vile,même vile,Ravenne,Ravenna"
Rhin,"Rhin,Rein"
Rhodes,"Rhodes,Rodes,Rhodo,Rodi"
Rimini,"Rimino,Rimini"
Ripatransone,Ripa Transone
Romagne,"Romagna,Romagne"
